State Abbreviation,Average Household Income 2020/2021,"Percent Change in Household Income, 1984-2019","Average Yearly Percent Change in Household Income, 1984-2019",MinWage,City,Average House Price 2020/2021,"Percent Change in Housing Prices, 2000-2019","Average Yearly Percent Change in Housing Prices, 2000-2019",County Name,Violent Crime Total,Property Crime Total,Property Crime Per Capita,Violent Crime Per Capita,Total Crime Per Capita,State Name,TotalPop,Men,Women,VotingAgeCitizen,Employed,TractId,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Population
TX,69501.5,24.64076451,0.684465681,7.25,Austin,478481.2121,89.27866143,4.463933072,Travis County,4833.5,35155.5,0.034870997,0.004791773,0.039662771,Texas,1176584,593319,583265,783460,645807,48453006242,32.53,51.34,7.55,0.29,5.84,0.04,73510.05,39810.57,15.22,18.9,47.61,15.92,21.62,8.45,6.4,73.29,9.41,4.01,2.14,2.59,8.57,24.84,77.63,14.55,7.69,0.14,4.58,885400
IN,70057.5,24.6279447,0.684109575,7.25,Indianapolis,176045.8333,,,Marion County,6430,30831,0.034416282,0.007177733,0.041594015,Indiana,939964,452538,487426,653701,450798,18097346746,10.02,54.71,29.68,0.21,2.49,0.03,47193.29,25659.37,21.78,30.1,32.14,19.11,24.92,8.05,15.78,80.81,9.59,2.7,2.04,1.77,3.09,23.03,85.92,9.58,4.38,0.12,8.95,843393
FL,60097,25.52712219,0.709086727,10,Jacksonville,221142.3333,81.72002225,4.086001113,Duval County,6424,26432,0.028714579,0.006978755,0.035693335,Florida,912043,442115,469928,666437,430830,12031017737,8.35,53.62,31.31,0.17,3.77,0.08,52057.69,28363.49,17.8,25.11,34.18,19.77,26.86,8.13,11.07,78.77,9.7,2.85,1.94,2.16,4.58,24.33,83.73,11.57,4.61,0.09,8.16,842583
CA,81426.5,31.42376272,0.872882298,14,San Francisco,1431269.667,182.7664645,9.138323224,San Francisco County,4796,38737,0.043943715,0.00544064,0.049384355,California,864263,440633,423630,641255,504914,6075059066,15.19,42.29,5.58,0.16,31.97,0.43,98637.08,60283.94,12.34,10.41,53.76,17.34,19.49,3.78,5.64,34.37,6.68,34.1,11.32,6.81,6.72,32.83,80.19,11.48,8.18,0.14,5.7,837442
OH,62943.5,18.98907815,0.527474393,9.3,Columbus,193831.1667,47.83482678,2.391741339,Franklin County,5382,29589,0.032302366,0.005875539,0.038177906,Ohio,1253507,611086,642421,894661,650022,39049010033,5.43,61.5,24.86,0.14,3.9,0.04,56988.76,29962.5,19.85,27.4,38.71,18.41,24.12,5.45,13.3,78.91,8.5,3.67,2.82,1.93,4.16,21.67,82.05,13.31,4.55,0.09,6.86,822553
NC,63071.5,26.51571345,0.736547596,7.25,Charlotte,289938.75,53.00984143,2.650492072,Mecklenburg County,,,,,,North Carolina,1034290,497122,537168,693738,537798,37119016928,12.52,47.37,32,0.22,5.07,0.06,66993.89,35603.96,14.61,19.54,41.92,16.88,24.31,6.93,9.96,76.81,9.7,3.58,1.85,1.48,6.58,25.76,86.63,8.58,4.69,0.11,7.18,792862
TX,69501.5,24.64076451,0.684465681,7.25,Fort Worth,239416.25,93.22467795,4.661233897,Tarrant County,5161.5,25126,0.026772683,0.005497792,0.032270475,Texas,1983675,971142,1012533,1270469,974947,48439113204,29.36,47.88,15.65,0.27,4.4,0.18,65586.95,30351.79,15.13,20.54,34.43,17.07,24.67,10.08,13.76,81.58,10.84,0.72,1.35,1.29,4.23,26.44,83.09,10.88,5.88,0.15,5.67,792727
MI,65943.5,18.8016854,0.522269039,9.87,Detroit,50259.70833,-17.05140886,-0.852570443,Wayne County,14439.5,21892.5,0.03283132,0.021660719,0.054492039,Michigan,1763822,848339,915483,1279502,722115,26163556629,5.36,42.63,47.02,0.26,2.47,0.02,44800.19,23154.92,26.95,36.52,27.66,22.96,23.82,6.75,18.81,76.32,10.55,5.22,2.53,2.03,3.35,25.59,86.29,9.59,3.99,0.13,14.04,688701
TX,69501.5,24.64076451,0.684465681,7.25,El Paso,156709.5,46.58011928,2.329005964,El Paso County,1698,8539,0.012470481,0.002479784,0.014950266,Texas,834825,409199,425626,488016,341350,48141011581,82.93,12.06,2.78,0.29,0.98,0.08,43161.09,19127.25,24.49,35.03,27.39,22.56,26.07,10.54,13.45,78.16,10.71,2.05,2.81,2.74,3.54,23.32,74.11,19.16,6.61,0.12,7.67,674433
TN,59854,43.57385521,1.210384867,7.25,Memphis,117413.0833,0.116706167,0.005835308,Shelby County,15547.5,35240.5,0.054198651,0.023912674,0.078111325,Tennessee,937847,446846,491001,665480,430218,47157031466,5.73,33.18,57.45,0.11,1.95,0.02,48214.45,25762.84,24.78,35.16,30.95,20.29,24.24,7.08,17.43,80.44,10.46,2.56,1.96,1.67,2.92,22.51,81.52,13.32,5.07,0.08,10.46,653450
WA,86402.5,40.24041857,1.117789405,14.49,Seattle,803251.625,167.3779866,8.368899328,King County,5350.5,38892.5,0.049873705,0.006856664,0.056730369,Washington,2118119,1058695,1059424,1459791,1140353,53033023022,9.37,62.08,5.95,0.51,15.95,0.8,89396.07,46201.38,10.42,11.87,49.82,15.35,20.12,5.79,8.91,64.09,9.58,12.54,4.55,2.59,6.66,29.24,81.59,12.27,5.98,0.16,5.09,652405
CO,86321.5,19.56240955,0.543400265,12.56,Denver,512706.2917,124.8587802,6.242939012,Denver County,6613,38537.5,0.052141502,0.008948451,0.061089953,Colorado,678467,339400,339067,475990,374043,8031018012,28.62,56.4,8.49,0.52,3.31,0.13,65337.89,40024.55,15.34,20.99,44.9,17.58,21.55,8.07,7.91,69.67,8.17,7.06,4.32,3.28,7.5,25.18,83.61,10.69,5.59,0.1,4.76,649495
DC,91488.5,94.131303,2.614758417,15.2,Washington,664461.5833,214.039591,10.70197955,District of Columbia,6828,24459,0.034313203,0.00957891,0.043892112,District of Columbia,672391,319046,353345,503112,357701,11001006025,9.89,34.32,49.65,0.17,3.44,0.03,82936.3,49815.75,18.56,20.77,56.36,17.62,18.33,3.07,4.63,36.79,5.72,35.6,10.86,5.74,5.28,31.09,70.66,25.11,4.1,0.12,9.78,646449
MA,89239,38.43026286,1.067507302,14.25,Boston,670091.5833,166.2109472,8.310547359,Suffolk County,3885,11614,0.016479416,0.005512531,0.021991946,Massachusetts,780685,377572,403113,533762,423215,25025142912,21.33,47.31,19.71,0.2,8.22,0.02,65022.42,40105.35,20.04,23.55,44.48,22.33,20.91,4.84,7.44,39.97,6.48,33.27,13.8,3.25,3.22,30.52,84.98,10.91,4,0.11,7.7,645966
TN,59854,43.57385521,1.210384867,7.25,Nashville,328855.875,99.09242763,4.954621382,Davidson County,,,,,,Tennessee,678322,327080,351242,483926,364089,47037027393,9.74,56.18,28.17,0.24,3.24,0.07,57775.7,32106.33,17.88,26.24,39.53,17.61,24.08,7.31,11.48,77.66,10.6,2.67,2.36,1.2,5.5,23.74,81.85,11.04,7.01,0.1,5.78,634464
OK,57508.5,19.50561968,0.541822769,7.25,Oklahoma City,157636.0833,67.12693632,3.356346816,Oklahoma County,4313,25557,0.038095196,0.006428946,0.044524142,Oklahoma,774203,378842,395361,524813,363998,40109106533,17.48,54.53,16.7,2.5,3.07,0.06,51965.49,28051.99,19.46,25.71,33.17,18.1,24.54,12.18,12.01,80.62,11.41,0.86,2.38,1.2,3.53,20.76,79.63,14.28,5.94,0.14,6.32,610613
KY,57517,33.9623927,0.943399797,7.25,Louisville,196413.5417,56.16404464,2.808202232,Jefferson County,,,,,,Kentucky,764378,369391,394987,565101,376394,21111014053,5.05,66.79,23.04,0.11,2.34,0.04,54570.67,29986.08,16.83,22.99,34.99,17.5,24.31,6.4,16.79,78.98,8.63,3.82,2.45,2.29,3.83,22.27,84.53,10.93,4.35,0.19,7.29,609893
OR,81149,47.9633,1.332313889,12.75,Portland,503648.7917,154.9275183,7.746375914,Multnomah County,4125,34232.5,0.051578062,0.006214619,0.057792681,Oregon,788459,390542,397917,579030,416325,41051011291,10.51,71.94,5.12,0.56,6.65,0.55,66345.5,36739.56,15.73,16.63,45.75,17.35,20.92,5.79,10.17,60.18,9.34,11.06,5.41,6.64,7.37,26.28,80.59,11.91,7.31,0.18,6.55,609456
NV,64180,17.0469945,0.473527625,9.75,Las Vegas,321127.5833,70.16715151,3.508357575,Clark County,,,,,,Nevada,2112436,1056002,1056434,1384810,982033,32003003703,30.82,45.01,10.54,0.42,8.93,0.64,57914.18,28399.72,15.14,21.04,26.66,29.36,25.7,8.28,10,77.56,9.96,4.26,2.05,2.38,3.79,24.41,84.44,10.27,5.2,0.1,8.73,603488
WI,70248,38.16464394,1.060128998,7.25,Milwaukee,149932.0417,44.66394021,2.23319701,Milwaukee County,9410,20461,0.034581926,0.0159164,0.050498325,Wisconsin,956586,462784,493802,679917,454524,55079057964,14.34,48.35,30.35,0.46,3.83,0.01,47269.11,25770.65,23.22,29.17,32.79,22.23,22.56,5.87,16.55,73.86,9.64,7.54,3.89,1.61,3.47,22.67,85.11,11.17,3.61,0.11,8.46,599164
NM,53373,9.546144564,0.265170682,11.5,Albuquerque,246011.3333,,,Bernalillo County,7691.5,26361,0.046819668,0.013658651,0.06047832,New Mexico,674855,330743,344112,483669,313658,35001021029,46.82,42.06,2.41,4.26,2.26,0.05,54244.16,29003.81,18.04,24.33,40.77,19.76,23.64,8.24,7.6,79.73,8.66,2.05,2.29,2.55,4.72,21.46,73.79,20.09,5.98,0.14,6.62,556495
AZ,70520.5,40.35643342,1.121012039,12.8,Tucson,245438.7083,68.00397703,3.400198851,Pima County,3843,19931,0.036208688,0.006981586,0.043190274,Arizona,1007257,495714,511543,726019,433478,4019023219,34.49,54.38,3,3.05,2.61,0.12,52420.4,28274.26,18.46,24.53,36.58,21.29,24.94,8.68,8.5,76.34,9.84,2.71,2.37,3.66,5.09,24.4,75.08,17.74,7,0.19,8.65,526116
CA,81426.5,31.42376272,0.872882298,14,Fresno,293017.8333,127.7415548,6.387077742,Fresno County,3560,16475,0.030767248,0.00664834,0.037415588,California,971616,484667,486949,575985,392003,6019004522,51.27,31.39,4.81,0.48,9.61,0.17,52269.15,22701.13,25.73,35.06,27.89,20.06,22.68,15.49,13.87,77.25,12.41,1.4,1.89,2.66,4.37,22.34,75.34,17.77,6.69,0.2,10.59,509924
