State Abbreviation,Average Household Income 2020/2021,"Percent Change in Household Income, 1984-2019","Average Yearly Percent Change in Household Income, 1984-2019",MinWage,City,Average House Price 2020/2021,"Percent Change in Housing Prices, 2000-2019","Average Yearly Percent Change in Housing Prices, 2000-2019",County Name,Violent Crime Total,Property Crime Total,Property Crime Per Capita,Violent Crime Per Capita,Total Crime Per Capita,State Name,TotalPop,Men,Women,VotingAgeCitizen,Employed,TractId,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Population
IA,72229.5,41.49822122,1.152728367,7.25,West Des Moines,257010.3333,58.01234425,2.900617212,Polk County,97.5,1182.5,0.016929363,0.001395749,0.018325112,Iowa,467235,229864,237371,328736,250105,19153006233,9.36,75.81,7.23,0.21,4.51,0.07,62597.7,32286.61,13.01,17.96,36.36,17.77,25.38,8.13,12.35,82.32,9.16,1.69,1.95,1.17,3.72,19.05,84.38,11.09,4.45,0.07,5.17,61255
TX,69501.5,24.64076451,0.684465681,7.25,Cedar Park,416373.6818,84.11387201,4.205693601,Williamson County,106,997,0.011850566,0.00125994,0.013110506,Texas,508313,250106,258207,342928,254840,48491020626,24.45,61.8,5.66,0.18,5.13,0.08,80659.11,34198.89,7.7,10.03,44.03,14.2,25.38,8.18,8.21,80.13,9.18,0.72,0.94,1.25,7.79,27.87,78.32,14.71,6.78,0.19,4.86,61238
CA,81426.5,31.42376272,0.872882298,14,Tulare,252557.3333,93.53621821,4.67681091,Tulare County,300,1486,0.022444757,0.004531243,0.026976,California,458809,229488,229321,249667,173820,6107002176,62.58,30.6,1.49,0.72,2.76,0.16,44596.18,18802.5,27.71,35.06,22.87,18.33,19.76,23.38,15.66,76.46,14.53,2.01,1.74,2.43,2.83,22.73,78.49,14.87,6.4,0.24,10.8,61170
CA,81426.5,31.42376272,0.872882298,14,Monterey Park,717070.6667,199.7463064,9.987315322,Los Angeles County,113,1230,0.020634468,0.001895687,0.022530155,California,10105722,4979641,5126081,6218279,4805817,6037408065,47.87,27.19,7.77,0.28,14.16,0.24,66053.55,31389.41,17.32,22.19,35.24,19.39,24.14,7.92,13.32,73,9.66,6.74,2.89,2.34,5.36,30.99,79.32,11.2,9.32,0.16,7.91,61085
NJ,89051,34.3871061,0.955197392,13,Vineland,189204.625,50.23223535,2.511611768,Cumberland County,227,1239,0.020897989,0.003828768,0.024726758,New Jersey,154952,79550,75402,107876,62714,34011052463,28.87,46.26,19.86,0.56,1.21,0,50481.42,22057.09,19.48,24.96,24.47,23.31,21.29,12.36,18.58,80.8,10.28,2.35,2.57,2.34,1.67,24.09,77.02,19.06,3.65,0.27,9.41,61050
IN,70057.5,24.6279447,0.684109575,7.25,Terre Haute,107838.125,,,Vigo County,825.5,3045,0.05034579,0.013647021,0.06399281,Indiana,107723,54651,53072,83521,47559,18167005175,2.33,85.94,6.35,0.14,1.35,0.02,40835.96,21345.82,23.24,27.82,29.15,22.99,21.42,7.93,18.53,80.99,10.68,1.34,3.03,1.39,2.57,19.39,83.12,13.36,3.47,0.04,8.48,61025
FL,60097,25.52712219,0.709086727,10,North Miami,289882.5,157.049357,7.852467848,Miami-Dade County,481,2008,0.031817966,0.007621734,0.0394397,Florida,2702602,1311997,1390605,1578079,1272735,12086028896,65.35,16.01,16.05,0.11,1.54,0.03,53910.99,28144.99,19.23,23.78,32.4,21.17,27.05,9.14,10.24,75.33,8.65,5.8,2.7,2.28,5.25,30.77,82.43,9.54,7.84,0.18,7.47,61007
TX,69501.5,24.64076451,0.684465681,7.25,Mansfield,328463.25,79.6278703,3.981393515,Tarrant County,65,916,0.012225559,0.000867534,0.013093093,Texas,1983675,971142,1012533,1270469,974947,48439113204,29.36,47.88,15.65,0.27,4.4,0.18,65586.95,30351.79,15.13,20.54,34.43,17.07,24.67,10.08,13.76,81.58,10.84,0.72,1.35,1.29,4.23,26.44,83.09,10.88,5.88,0.15,5.67,60872
WI,70248,38.16464394,1.060128998,7.25,West Allis,176329.0417,36.04732974,1.802366487,Milwaukee County,170,1702,0.028378576,0.002835613,0.031214189,Wisconsin,956586,462784,493802,679917,454524,55079057964,14.34,48.35,30.35,0.46,3.83,0.01,47269.11,25770.65,23.22,29.17,32.79,22.23,22.56,5.87,16.55,73.86,9.64,7.54,3.89,1.61,3.47,22.67,85.11,11.17,3.61,0.11,8.46,60697
CT,82049.5,24.00900841,0.6669169,13,Bristol,216691.3333,36.27116422,1.813558211,Hartford County,59,770.5,0.012890733,0.000986762,0.013877495,Connecticut,897417,435729,461688,649810,445468,9003477154,18.81,59.35,14.56,0.16,4.8,0.02,73740.98,36394.99,13.28,15.99,40.99,18.05,23.55,6.28,11.14,78.87,8.71,4.63,2.6,1.13,4.06,22.97,81.69,13.22,4.88,0.22,8.24,60568
UT,87782,55.97889494,1.554969304,7.25,Taylorsville,383040.125,92.05278203,4.602639101,Salt Lake County,,,,,,Utah,1106700,555589,551111,718732,564689,49035114540,17.24,72.59,1.68,0.71,3.91,1.45,72047.07,31394.6,11.15,13.42,39.51,14.93,26,7.71,11.84,74.44,11.42,4.09,2.52,2.01,5.53,21.69,82.02,13.18,4.66,0.14,4.32,60519
MA,89239,38.43026286,1.067507302,14.25,Malden,540379.8333,137.9756615,6.898783076,Middlesex County,158.5,732.5,0.0121417,0.002627234,0.014768934,Massachusetts,1582857,773112,809745,1110166,862873,25017348106,7.89,72.82,4.92,0.12,11.34,0.02,99630.27,47926.56,8.67,9.43,55.33,14.33,18.81,5.15,6.38,66.81,6.86,12.51,5.43,2.58,5.81,30.01,82.91,10.72,6.27,0.09,4.84,60509
CT,82049.5,24.00900841,0.6669169,13,Meriden,202412.125,41.81623904,2.090811952,New Haven County,184,1265,0.021434947,0.003119789,0.024554736,Connecticut,862127,415863,446264,636398,425229,9009220646,18.7,62.36,12.64,0.09,3.85,0.01,68865.67,34671.24,13.35,16.58,39.74,18.77,23.41,7.09,10.99,76.26,8.9,4.9,4.42,1.37,4.15,24.75,81.24,12.75,5.78,0.23,8.4,60456
MN,81436,41.7853798,1.160704994,10.33,Blaine,310771.9583,69.92158612,3.496079306,Anoka County,82,1434,0.021360615,0.001221419,0.022582034,Minnesota,344861,172482,172379,251328,187986,27003050613,4.27,82.43,5.7,0.54,4.12,0.03,78137.99,33858.12,7.09,10.41,35.67,16.09,24.29,9.18,14.78,82.01,8.03,3.43,1.11,1.09,4.32,27.88,84.67,10.96,4.25,0.13,4.38,60407
FL,60097,25.52712219,0.709086727,10,Wellington,456036.25,114.1440553,5.707202764,Palm Beach County,67,489,0.007361243,0.001008596,0.008369838,Florida,1426772,691154,735618,994387,655496,12099025474,19,60.11,16.73,0.09,2.32,0.03,63441.32,39902.55,13.51,18.13,37.28,20.9,26.49,8.29,7.05,77.23,9.15,1.99,1.63,2.13,7.87,24.97,82.92,9.59,7.3,0.2,7.54,60202
CA,81426.5,31.42376272,0.872882298,14,Cupertino,2403591.583,187.1526831,9.357634154,Santa Clara County,69,830,0.013986485,0.001162732,0.015149217,California,1911226,963317,947909,1162019,967294,6085506672,25.79,33.85,2.4,0.16,33.83,0.35,113117.5,49516.09,8.76,9.55,51.96,14.97,18.68,6.49,7.9,75.05,10.46,4.25,2.13,3.06,5.06,28.03,84.24,9.46,6.19,0.11,5.72,60189
OR,81149,47.9633,1.332313889,12.75,Springfield,329436.8333,99.01042615,4.950521307,Lane County,187,1708,0.026841207,0.002938693,0.0297799,Oregon,363471,179116,184355,282366,167083,41039013873,7.97,83.54,0.94,0.84,2.31,0.22,50209.01,27546.22,18.53,20.73,35.1,19.98,24.73,8.26,11.92,71.4,10.17,2.84,4.73,4.6,6.26,20.43,76.87,14.98,7.95,0.22,7.76,60177
AR,51966,48.05830217,1.334952838,11,Rogers,242662.2083,71.54807504,3.577403752,Benton County,274,1692,0.023807191,0.003851293,0.027658483,Arkansas,251823,124632,127191,165781,119813,5007020798,15.98,74.89,1.45,1.42,3.47,0.46,62364.84,30986.78,11.03,15.03,36.61,13.83,26.13,8.74,14.69,84.94,8.57,0.14,1.66,0.79,3.9,20.25,85.73,8.18,5.99,0.1,3.24,60112
CA,81426.5,31.42376272,0.872882298,14,Gardena,644049.5833,185.5086358,9.275431791,Los Angeles County,269,1324,0.022295192,0.004529763,0.026824956,California,10105722,4979641,5126081,6218279,4805817,6037408065,47.87,27.19,7.77,0.28,14.16,0.24,66053.55,31389.41,17.32,22.19,35.24,19.39,24.14,7.92,13.32,73,9.66,6.74,2.89,2.34,5.36,30.99,79.32,11.2,9.32,0.16,7.91,59957
MI,65943.5,18.8016854,0.522269039,9.87,Pontiac,92846.83333,-29.69599058,-1.484799529,Oakland County,776,1056.5,0.017866843,0.013120321,0.030987164,Michigan,1241860,605231,636629,907645,629551,26125160432,3.83,72.57,14.54,0.2,6.2,0.02,80372.67,41112.98,9.3,11.4,48.36,14.26,22.79,5.18,9.42,85.66,7.32,0.53,1.18,0.8,4.5,26.54,86.72,8.24,4.87,0.17,5.59,59887
CA,81426.5,31.42376272,0.872882298,14,National City,507487.3333,185.0433527,9.252167634,San Diego County,376.5,1225.5,0.019951187,0.006129818,0.026081005,California,3283665,1651147,1632518,2207599,1536073,6073014114,33.23,47.5,4.68,0.37,10.43,0.38,75402.8,34856.11,13.41,16.07,40.1,20.1,23.09,8.08,8.64,76.05,8.87,3.28,2.52,2.25,7.02,25.85,77.07,14.65,8.09,0.19,7.25,59834
CO,86321.5,19.56240955,0.543400265,12.56,Grand Junction,299443.125,81.98305345,4.099152672,Mesa County,363,2933,0.04579982,0.005668886,0.051468706,Colorado,148798,73478,75320,113269,68918,8077001174,13.91,81.64,0.84,0.58,0.84,0.11,53073.97,28089.14,16.46,19.17,34.67,18.33,23.5,12.58,10.93,76.21,9.27,0.47,4.73,3.04,6.28,20.11,78.16,15.09,6.42,0.33,7.66,59778
CA,81426.5,31.42376272,0.872882298,14,Rocklin,566772.75,106.46992,5.323496,Placer County,70,1135,0.016163716,0.000996881,0.017160598,California,374985,183021,191964,275790,170791,6061032845,13.2,76.13,1.23,0.35,5.47,0.16,82083.36,39896.9,9.03,10.16,43.22,16.45,25.8,8.02,6.52,78,7.78,1.62,1.73,1.9,8.99,26.7,74.89,14.98,9.92,0.22,5.7,59738
NC,63071.5,26.51571345,0.736547596,7.25,Chapel Hill,442455.8333,,,Orange County,101.5,1188.5,0.018394935,0.001571203,0.019966137,North Carolina,141812,67598,74214,103638,72255,37135011291,8.11,70.53,11.01,0.4,7.14,0.01,72066.78,39638.71,16.07,10.15,54.8,16.51,18.65,5.16,4.86,65.65,6.69,7.07,8.28,3.32,8.98,21.59,68.88,24.86,6.14,0.14,5.24,59635
WY,69779,16.3696748,0.454713189,7.25,Casper,234651.2917,,,Natrona County,124,1659,0.028483621,0.002128975,0.030612595,Wyoming,81023,41061,39962,60197,41467,56025000956,8.44,86.84,1.25,0.62,0.74,0.01,61612.5,31662.17,10.27,12.58,30.54,17.47,23.98,14.21,13.81,84.36,8.77,0.45,1.53,1.2,3.7,16.94,79.21,14.63,5.72,0.45,5.37,59628
CO,86321.5,19.56240955,0.543400265,12.56,Broomfield,537390.8333,97.06038555,4.853019277,Broomfield County,80.5,2252.5,0.031085718,0.001110863,0.032196581,Colorado,64283,31920,32363,46152,34972,8014188950,11.74,78.53,0.99,0.29,6.13,0,91184.87,43621.2,5.45,4.81,52.71,11.98,22.62,5.89,6.81,77.73,6.64,3.6,1.01,1.74,9.31,27.98,79.97,13.78,6.12,0.12,4.26,59471
CA,81426.5,31.42376272,0.872882298,14,Petaluma,779651.4583,117.7403242,5.887016212,Sonoma County,255,756,0.012432984,0.004193665,0.016626649,California,500943,245381,255562,354994,249134,6097160595,24.36,66.46,1.23,0.56,3.44,0.23,73995.23,39047.75,10.59,12.69,38.72,19.57,22,10.35,9.36,74.62,10.61,1.82,3.29,2.08,7.57,25.39,75.06,12.97,11.77,0.2,5.88,59440
UT,87782,55.97889494,1.554969304,7.25,South Jordan,558197.0833,84.21170424,4.210585212,Salt Lake County,91,1315.5,0.016259402,0.001125489,0.017384891,Utah,1106700,555589,551111,718732,564689,49035114540,17.24,72.59,1.68,0.71,3.91,1.45,72047.07,31394.6,11.15,13.42,39.51,14.93,26,7.71,11.84,74.44,11.42,4.09,2.52,2.01,5.53,21.69,82.02,13.18,4.66,0.14,4.32,59366
OH,62943.5,18.98907815,0.527474393,9.3,Springfield,125164.4583,22.25538148,1.112769074,Clark County,493.5,2640,0.045124305,0.008449771,0.053574076,Ohio,135520,65575,69945,103362,60438,39023002051,3.24,81.62,10.32,0.17,0.64,0.06,46196.59,24114.98,19.22,25.79,27.11,20.36,22.99,8.31,21.23,80.47,10.45,1.08,3.09,1.26,3.65,21.58,81.7,12.38,5.66,0.26,8.78,59357
MT,62194.5,31.10549356,0.864041488,9.2,Great Falls,223852.9167,,,Cascade County,295,2883,0.049445533,0.005059944,0.054505477,Montana,81816,41259,40557,62743,36927,30013003314,5.05,84.6,1.35,4.55,0.7,0.08,46574.64,27005.05,15.12,21.38,33.55,21.4,23.23,12.04,9.8,78.71,11.29,0.72,4.45,1.16,3.67,15.87,74.48,17.8,7.41,0.31,4.68,59351
FL,60097,25.52712219,0.709086727,10,North Port,247972.1667,101.3986504,5.06993252,Sarasota County,117,743,0.01026399,0.001616268,0.011880258,Florida,404839,193328,211511,324231,160224,12115012148,8.5,84.9,3.53,0.21,1.62,0.02,58895.36,40250.87,10.25,15.08,36.27,20.46,26.69,9.33,7.24,81.1,6.27,0.71,1.14,2.29,8.49,22.9,81.6,9.01,9.17,0.22,5.91,59212
WA,86402.5,40.24041857,1.117789405,14.49,Lakewood,404844.25,99.82234678,4.991117339,Pierce County,421.5,2794.5,0.045531485,0.006867806,0.05239929,Washington,845193,420170,425023,610627,383286,53053125233,10.48,67.89,6.45,1.01,6,1.44,66537.23,31182.19,12.84,16.24,33.61,18.32,24.15,10.6,13.31,78.55,9.46,3.66,2.28,1.45,4.62,31.22,75.93,19.34,4.61,0.12,7.01,59097
GA,61765,20.57139413,0.571427615,7.25,Marietta,344582.5417,65.71941553,3.285970776,Cobb County,293,1682,0.027443349,0.004780774,0.032224123,Georgia,739072,357252,381820,497695,382187,13067030666,12.49,54.37,25.04,0.13,5.21,0.04,79262.67,37559.15,11,14.54,46.16,14.54,23.7,7.48,8.12,78.96,8.62,1.18,1.27,2.06,7.9,31.37,83.47,9.88,6.53,0.12,5.91,59089
CA,81426.5,31.42376272,0.872882298,14,San Rafael,1200434.083,104.4596733,5.222983663,Marin County,229,1912,0.032677058,0.003913727,0.036590785,California,260814,127423,133391,184739,130570,6041131195,14.67,72.93,2.43,0.16,5.24,0.12,111398.7,67903.75,7.99,8.14,54.61,13.89,21.27,5.64,4.6,64.69,7.69,9.56,3.92,2.59,11.55,31.85,73.81,10.3,15.7,0.2,4.48,58994
MI,65943.5,18.8016854,0.522269039,9.87,Royal Oak,275809.75,56.30040577,2.815020288,Oakland County,51,402,0.006776908,0.000860202,0.00763711,Michigan,1241860,605231,636629,907645,629551,26125160432,3.83,72.57,14.54,0.2,6.2,0.02,80372.67,41112.98,9.3,11.4,48.36,14.26,22.79,5.18,9.42,85.66,7.32,0.53,1.18,0.8,4.5,26.54,86.72,8.24,4.87,0.17,5.59,58946
IL,78529,33.27867744,0.924407707,12,Des Plaines,285664.375,40.3316959,2.016584795,Cook County,,,,,,Illinois,5238541,2540704,2697837,3538445,2521437,17031565847,23.6,39.57,28.68,0.1,6.22,0.02,61411.29,33055.12,17.98,22.98,36.99,19.71,23.74,5.89,13.68,59.81,8.1,21.04,4.17,2.44,4.44,33.64,83.43,12.01,4.44,0.12,10.37,58918
CA,81426.5,31.42376272,0.872882298,14,Huntington Park,512280.375,173.2581054,8.662905269,Los Angeles County,421,1720,0.029943247,0.007329132,0.037272379,California,10105722,4979641,5126081,6218279,4805817,6037408065,47.87,27.19,7.77,0.28,14.16,0.24,66053.55,31389.41,17.32,22.19,35.24,19.39,24.14,7.92,13.32,73,9.66,6.74,2.89,2.34,5.36,30.99,79.32,11.2,9.32,0.16,7.91,58879
CA,81426.5,31.42376272,0.872882298,14,La Mesa,658249.3333,140.9601713,7.048008565,San Diego County,169,1090.5,0.018254397,0.002830347,0.021084743,California,3283665,1651147,1632518,2207599,1536073,6073014114,33.23,47.5,4.68,0.37,10.43,0.38,75402.8,34856.11,13.41,16.07,40.1,20.1,23.09,8.08,8.64,76.05,8.87,3.28,2.52,2.25,7.02,25.85,77.07,14.65,8.09,0.19,7.25,58642
IL,78529,33.27867744,0.924407707,12,Orland Park,326748,29.44503021,1.47225151,Cook County,,,,,,Illinois,5238541,2540704,2697837,3538445,2521437,17031565847,23.6,39.57,28.68,0.1,6.22,0.02,61411.29,33055.12,17.98,22.98,36.99,19.71,23.74,5.89,13.68,59.81,8.1,21.04,4.17,2.44,4.44,33.64,83.43,12.01,4.44,0.12,10.37,58590
AL,57086,38.1439473,1.059554092,7.25,Auburn,270542.4167,65.08842995,3.254421498,Lee County,81,896,0.012799451,0.001157093,0.013956545,Alabama,156597,77172,79425,117422,71677,1081041249,3.8,66.91,23.94,0.11,3.54,0,44587.15,25076.63,26.5,25.28,39.35,17.68,23.02,7.39,12.55,83.3,8.13,0.94,3.35,1.27,3,21.69,77.37,18.32,4.18,0.12,6.34,58582
MN,81436,41.7853798,1.160704994,10.33,Lakeville,402087.375,68.02271843,3.401135922,Dakota County,97,634,0.008918022,0.001364429,0.010282451,Minnesota,414655,204016,210639,296543,231109,27037060747,6.76,79.29,5.89,0.23,4.74,0.03,82693,38642.78,7.24,9.95,42.06,15.61,24.28,6.46,11.59,81.15,8.31,3.35,1.15,1.01,5.04,23.97,84.07,11.58,4.25,0.09,3.97,58562
KY,57517,33.9623927,0.943399797,7.25,Owensboro,147303.7778,35.31566966,1.765783483,Daviess County,154,2292.5,0.037872956,0.002544271,0.040417227,Kentucky,99258,48300,50958,73475,44736,21059001088,2.79,87.81,5.14,0.2,1.58,0,51769.04,26428.83,16.25,22.36,29.26,18.05,24.27,9.22,19.2,86.41,8.13,0.6,2.33,1.14,1.38,18.57,83.78,11.43,4.68,0.12,6.68,58416
OK,57508.5,19.50561968,0.541822769,7.25,Moore,165134.4583,66.62713734,3.331356867,Cleveland County,131,1452,0.023106302,0.002084659,0.025190961,Oklahoma,274024,136970,137054,205075,137715,40027201605,8.51,73.09,4.52,3.4,4.07,0.1,60870.93,28941.05,15.72,13.88,40.04,17.7,24.5,8.76,9,82.42,9.27,0.29,2.86,2.06,3.09,22.81,73.55,21.48,4.77,0.18,5.58,58414
FL,60097,25.52712219,0.709086727,10,Jupiter,465783.9583,127.7374443,6.386872215,Palm Beach County,83,701,0.010454261,0.001237808,0.011692069,Florida,1426772,691154,735618,994387,655496,12099025474,19,60.11,16.73,0.09,2.32,0.03,63441.32,39902.55,13.51,18.13,37.28,20.9,26.49,8.29,7.05,77.23,9.15,1.99,1.63,2.13,7.87,24.97,82.92,9.59,7.3,0.2,7.54,58298
ID,73379.5,33.12013401,0.920003723,7.25,Idaho Falls,292003.625,115.9531899,5.797659493,Bonneville County,261.5,1072.5,0.016739996,0.004083236,0.020823232,Idaho,110404,55082,55322,72872,48734,16019970768,12.64,83.9,0.43,0.31,0.83,0.15,56817.29,25576.29,12.33,16.87,35.43,17.26,24,10.33,13,78.54,10.75,2.8,1.77,1.57,4.57,19.09,78.02,15.63,6.05,0.32,4.24,58292
IA,72229.5,41.49822122,1.152728367,7.25,Dubuque,181326.5,,,Dubuque County,241.5,1174.5,0.020303741,0.004174989,0.02447873,Iowa,96571,47757,48814,73022,50779,19061004440,2.47,90.79,3.18,0.04,1.25,0.4,59809.62,29137.31,12.9,17.77,33.82,17.66,24.61,7.57,16.33,81.53,8,1.18,4.14,1.05,4.11,16.36,85.85,9.49,4.54,0.13,4.12,58253
TN,59854,43.57385521,1.210384867,7.25,Bartlett,257112.5417,27.20431655,1.360215827,Shelby County,172,1013,0.016982786,0.002884478,0.019867264,Tennessee,937847,446846,491001,665480,430218,47157031466,5.73,33.18,57.45,0.11,1.95,0.02,48214.45,25762.84,24.78,35.16,30.95,20.29,24.24,7.08,17.43,80.44,10.46,2.56,1.96,1.67,2.92,22.51,81.52,13.32,5.07,0.08,10.46,58226
TX,69501.5,24.64076451,0.684465681,7.25,Rowlett,291432.25,89.79944527,4.489972263,Dallas County,110.5,886,0.012840268,0.001599818,0.014440086,Texas,2552213,1257751,1294462,1473599,1252101,48113016322,38.36,32.8,20.92,0.18,5.76,0.04,62102.28,32992.27,17.72,25.54,33.43,17.86,23.81,11.88,13.02,77.83,11.08,3.19,1.51,2.04,4.36,26.95,84.34,8.8,6.7,0.17,5.97,58043
MI,65943.5,18.8016854,0.522269039,9.87,Novi,382139.4583,32.54202471,1.627101235,Oakland County,54,438.5,0.007130578,0.000878002,0.00800858,Michigan,1241860,605231,636629,907645,629551,26125160432,3.83,72.57,14.54,0.2,6.2,0.02,80372.67,41112.98,9.3,11.4,48.36,14.26,22.79,5.18,9.42,85.66,7.32,0.53,1.18,0.8,4.5,26.54,86.72,8.24,4.87,0.17,5.59,57960
NY,72392.5,38.80352163,1.077875601,13.2,White Plains,646258.3333,69.45080148,3.472540074,Westchester County,,,,,,New York,975321,471874,503447,642976,479696,36119029470,22.97,53.89,14.95,0.15,5.9,0.01,100189.42,50934.48,9.9,11.76,46.74,18.67,21.81,6.59,6.19,57.23,7.99,22.72,5.31,1.47,5.28,34.15,79.41,13.76,6.68,0.14,6.53,57866
CA,81426.5,31.42376272,0.872882298,14,Arcadia,1091775.792,173.8580415,8.692902074,Los Angeles County,87,1034,0.017790166,0.001496851,0.019287017,California,10105722,4979641,5126081,6218279,4805817,6037408065,47.87,27.19,7.77,0.28,14.16,0.24,66053.55,31389.41,17.32,22.19,35.24,19.39,24.14,7.92,13.32,73,9.66,6.74,2.89,2.34,5.36,30.99,79.32,11.2,9.32,0.16,7.91,57639
WA,86402.5,40.24041857,1.117789405,14.49,Redmond,1040070.083,161.5008107,8.075040535,King County,77,1904,0.025596167,0.001035277,0.026631444,Washington,2118119,1058695,1059424,1459791,1140353,53033023022,9.37,62.08,5.95,0.51,15.95,0.8,89396.07,46201.38,10.42,11.87,49.82,15.35,20.12,5.79,8.91,64.09,9.58,12.54,4.55,2.59,6.66,29.24,81.59,12.27,5.98,0.16,5.09,57530
CA,81426.5,31.42376272,0.872882298,14,Lake Elsinore,437837,145.0097949,7.250489743,Riverside County,199,1648,0.023118468,0.002791611,0.025910079,California,2355002,1171711,1183291,1487322,978726,6065072649,47.27,38.75,5.61,0.4,5.29,0.26,62735.91,26414.65,16.35,22.05,28.56,21.76,24.65,11.72,13.31,76.78,12.66,1.35,1.82,1.82,5.57,31.87,77.77,13.92,8.14,0.16,10.01,57525
FL,60097,25.52712219,0.709086727,10,Ocala,180044.3333,,,Marion County,413,1936,0.031595267,0.006740106,0.038335373,Florida,343778,164984,178794,270592,120343,12083032498,10.99,72.61,12.98,0.25,1.22,0.03,41187.43,22893.33,19.67,29.74,27.29,22.95,27.87,11.03,10.87,79.43,9.89,0.49,1.75,1.9,6.54,26,79.54,12.5,7.48,0.48,9.88,57468
IL,78529,33.27867744,0.924407707,12,Tinley Park,256524.625,24.51140101,1.22557005,Cook County,47,472,0.008572778,0.000849962,0.009589887,Illinois,5238541,2540704,2697837,3538445,2521437,17031565847,23.6,39.57,28.68,0.1,6.22,0.02,61411.29,33055.12,17.98,22.98,36.99,19.71,23.74,5.89,13.68,59.81,8.1,21.04,4.17,2.44,4.44,33.64,83.43,12.01,4.44,0.12,10.37,57282
FL,60097,25.52712219,0.709086727,10,Port Orange,268658.5833,97.82325264,4.891162632,Volusia County,50,953,0.014477122,0.000759555,0.015236677,Florida,518660,252651,266009,410687,212016,12127093161,11.55,73.9,10.7,0.29,1.61,0.05,45639.06,26347.27,16.69,22.13,31.31,21.36,25.92,10.92,10.49,79.47,8.84,1.21,1.53,2.91,6.04,25.04,82.63,11.4,5.82,0.14,6.64,57203
MA,89239,38.43026286,1.067507302,14.25,Medford,680213.9583,146.4208128,7.321040639,Middlesex County,83,527.5,0.008888882,0.001390349,0.010279231,Massachusetts,1582857,773112,809745,1110166,862873,25017348106,7.89,72.82,4.92,0.12,11.34,0.02,99630.27,47926.56,8.67,9.43,55.33,14.33,18.81,5.15,6.38,66.81,6.86,12.51,5.43,2.58,5.81,30.01,82.91,10.72,6.27,0.09,4.84,57170
IL,78529,33.27867744,0.924407707,12,Oak Lawn,234441.5076,33.95899564,1.697949782,Cook County,,,,,,Illinois,5238541,2540704,2697837,3538445,2521437,17031565847,23.6,39.57,28.68,0.1,6.22,0.02,61411.29,33055.12,17.98,22.98,36.99,19.71,23.74,5.89,13.68,59.81,8.1,21.04,4.17,2.44,4.44,33.64,83.43,12.01,4.44,0.12,10.37,57073
NC,63071.5,26.51571345,0.736547596,7.25,Rocky Mount,119168.822,5.814042339,0.290702117,Nash County,559,1438.5,0.026927278,0.010463647,0.037390925,North Carolina,94125,45178,48947,70526,42367,37127010812,6.91,48.82,40.55,0.61,1.05,0.01,46982.33,24569.56,15.94,22.56,30.7,16.37,25.27,9.18,18.48,83.93,10.59,0.38,1.23,0.85,3.01,21.9,79.96,15.19,4.67,0.17,8.07,56954
IN,70057.5,24.6279447,0.684109575,7.25,Kokomo,122017.2917,,,Howard County,364,878,0.015073479,0.006249142,0.021322621,Indiana,82457,39889,42568,62811,36774,18067003700,3.26,85.12,7.26,0.36,1.3,0.03,48559.05,25435.2,17.68,25.04,26.62,19.92,20.4,8.36,24.72,82.96,10.88,0.43,1.08,1.5,3.16,19.59,84.52,10.88,4.45,0.16,7.05,56895
FL,60097,25.52712219,0.709086727,10,Coconut Creek,225459.6667,107.5544273,5.377721367,Broward County,88,662,0.010639666,0.001414336,0.012054002,Florida,1890416,920265,970151,1247710,930561,12011061968,26.34,42.24,25.88,0.15,3.05,0.04,59975.03,31633.87,14.36,18.37,35.33,20.32,27.24,8.42,8.7,79.2,8.81,3.04,1.45,2.3,5.2,27.87,82.96,10.38,6.5,0.16,7.72,56792
IL,78529,33.27867744,0.924407707,12,Berwyn,257237.4167,56.3563822,2.81781911,Cook County,,,,,,Illinois,5238541,2540704,2697837,3538445,2521437,17031565847,23.6,39.57,28.68,0.1,6.22,0.02,61411.29,33055.12,17.98,22.98,36.99,19.71,23.74,5.89,13.68,59.81,8.1,21.04,4.17,2.44,4.44,33.64,83.43,12.01,4.44,0.12,10.37,56758
OK,57508.5,19.50561968,0.541822769,7.25,Midwest City,126691.2917,50.86939879,2.54346994,Oklahoma County,183,1632,0.028269531,0.003169929,0.03143946,Oklahoma,774203,378842,395361,524813,363998,40109106533,17.48,54.53,16.7,2.5,3.07,0.06,51965.49,28051.99,19.46,25.71,33.17,18.1,24.54,12.18,12.01,80.62,11.41,0.86,2.38,1.2,3.53,20.76,79.63,14.28,5.94,0.14,6.32,56756
CA,81426.5,31.42376272,0.872882298,14,Fountain Valley,939306.125,166.357913,8.317895648,Orange County,67,1338,0.024175626,0.001210588,0.025386214,California,3155816,1558245,1597571,2021028,1560997,6059067548,32.62,44.35,1.55,0.22,18.09,0.31,86921.18,38987.37,11.36,13.84,41.08,17.18,25.13,6.7,9.9,78.6,9.56,2.09,1.95,1.98,5.82,27.51,81.24,10.58,7.98,0.2,5.85,56707
