,State Abbreviation,Number of Cities,Average Household Income 2020/2021,"Percent Change in Household Income, 1984-2019","Average Yearly Percent Change in Household Income, 1984-2019",MinWage,Average House Price 2020/2021,"Percent Change in Housing Prices, 2000-2019","Average Yearly Percent Change in Housing Prices, 2000-2019",Violent Crime Total,Property Crime Total,Property Crime Per Capita,Violent Crime Per Capita,Total Crime Per Capita,TotalPop,Men,Women,VotingAgeCitizen,Employed,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Population
12,ID,7,-0.04079873313883501,0.2065625672026546,0.20656256720265423,-1.263387054017375,-0.1973771028508164,0.4038758548879975,0.4038758548879974,-0.20952546947859188,-0.3027108936997653,-0.7065171226769199,-0.21874668907591477,-0.6362594583734867,-0.5762877072000385,-0.5748368948889838,-0.5776540156312866,-0.5977317798949214,-0.58234934909571,-0.3934291257895807,1.1805147597956538,-0.9326079023308557,0.3603097248208264,-0.7948599416410005,-0.08860283321410124,-0.7797851054812597,-0.9498387902162924,0.09155320342832682,0.10220941823779418,-0.6003554214436687,-0.1547098713212684,0.22926832968876618,1.1214192135191614,0.3104373401704323,0.3405495012632385,0.36605143237811716,-0.5782604073849793,-0.21997379019433552,0.11073305725017038,0.32202043407408504,-1.0459767957830528,-0.4385561161255923,0.2181446818379582,0.5202766199516012,1.9901477074837484,-0.5063659348123019,-0.2017680559289389
13,IL,50,0.4575517808433945,0.22454605701900573,0.2245460570190053,0.4278485632122878,-0.4406102595295146,-1.1829364368441628,-1.1829364368441626,-0.13644318222261814,-0.25836718062867214,-0.35962569388554944,0.168233858373966,-0.2612271171303281,0.41694607783299636,0.40363845652514224,0.4298303266689172,0.4851459952036421,0.43491324543272425,-0.1830056626792979,-0.030314798850271954,0.3998916903223057,-0.24559762796343665,0.011529412189337652,-0.41828148126072456,0.1893014180629561,0.24244556266302097,-0.15066810461975147,-0.13746831646827917,0.10682396288647561,-0.23702663649488667,0.23034329046777807,-0.716675022660751,0.3756879760126428,-0.6860448011449403,-0.8847737343127849,1.1097496812497873,0.28601165145514323,-0.15259488613727626,-0.2067122569935303,0.6859464732080127,0.7359785395901352,-0.3517970861395597,-1.0037865206618133,-0.3391393557513439,0.48075661187368696,-0.03356893868428767
14,IN,19,-0.3622902191955331,-0.7567015732964008,-0.7567015732964005,-1.263387054017375,-0.6836906741773109,-1.146967383747506,-1.1469673837475058,0.01962484502644595,0.04349133097355993,0.11785052807876148,0.38094396395085356,0.19041390829513113,-0.5252529115073281,-0.5260542696170912,-0.5244372899500415,-0.536953032548241,-0.5270463751596204,-0.8261559810863083,0.9510978572004004,-0.03610838188370192,-0.19685997679551906,-0.5281137183335578,-0.38295159323232547,-0.5616140976412927,-0.5425218585842341,0.3772118499582023,0.37198968023593865,-0.32277317445948467,-0.10939202499715912,-0.33717942396748696,-0.4174052923118448,1.1683193270237056,0.5972426943951542,-0.12999271286186628,-0.4423730548287015,-0.06341560462386688,-0.40851457755533177,-0.6374594394708739,-0.6875391856830175,0.9507885631978883,-0.5911685782841459,-0.973224153834015,-0.687079134744039,-0.11459166241816161,-0.03711430894306192
15,KS,11,0.2357400752317292,-0.5581554878427055,-0.5581554878427054,-1.263387054017375,-0.5617471470163814,-1.0459035384422732,-1.0459035384422728,-0.20916838583224603,-0.21842900759505257,-0.2628632296233055,-0.39901275483551374,-0.31429171724987653,-0.5168609857324156,-0.5163694989796442,-0.5173006105345984,-0.5287412061871645,-0.50674565333004,-0.5934221563399937,0.8727724568230912,-0.3806087632154464,0.011927866484961329,-0.4041588124452467,-0.3374339320492405,-0.12616674089923507,-0.04047860040022744,-0.2779362573892689,-0.6170322515198363,0.36652887584415095,-0.46521660863968356,-0.3139451839719984,-0.25277008677933155,-0.01333277492053911,0.6980075452224892,-0.39087266345178945,-0.5934993672658453,-0.04481276115610739,-0.35961350160046085,-0.32827136750842123,-1.3836982691899373,-0.06818157211125161,0.34591398162930553,-0.6293757092265747,-0.10887156000693053,-0.8392372048948307,-0.029906859649774062
16,KY,4,-1.5759157402352748,0.302099484644607,0.302099484644607,-1.263387054017375,-0.734853712345413,-0.9135235152517942,-0.913523515251794,-0.2337746952804424,-0.1856284806263008,0.8600705061845852,-0.31849654828749796,0.6318251129676782,-0.5294783203011074,-0.5305495764493524,-0.5284004711929525,-0.5365088660080957,-0.528644195765401,-0.9932964492749947,1.1524179458037367,-0.07763522618612348,-0.19421438656324366,-0.6319244429462834,-0.28520369442763877,-0.7228133144982685,-0.5615251734238151,0.4020968267029297,0.43073207443339234,-0.5731871309006675,-0.3279895202327481,0.4811674722372601,-0.33857386365781783,1.3210628673446583,0.6374459367366363,-0.012545587736520432,-0.37709426524659223,0.10437585188866376,-0.5371300631350356,-1.2603029122158973,-1.0302317100562028,0.8077300433372434,-0.4334340185888118,-0.9817330937703669,-0.6739921320236517,-0.2504613075257742,0.17617614970039375
17,LA,9,-1.7816625491926916,-1.7231549946241689,-1.7231549946241689,-1.263387054017375,-0.6983567043888794,-0.4849872326732549,-0.4849872326732547,0.27754744485371524,0.30167946931513545,1.8502117039785304,2.0455598440366716,2.0264500550044255,-0.5401746315052954,-0.541899364806257,-0.5384618433837683,-0.5492273230014909,-0.5468858069601976,-0.9406384881658953,-0.2820248626360381,2.258777833981531,-0.1358807550219618,-0.6699033015543504,-0.41733134980631603,-1.0991328276891996,-0.761168213949646,1.287580294983962,1.4076491885018456,-0.6223155078749953,1.3168769752190659,0.012126252328328622,0.5484215660673452,-0.18185646393417262,0.5960613319021083,-0.08265614701700902,-0.30484171329334386,-0.24788989352847976,0.13801150442428411,-1.349009243425041,-0.8253279601850911,-0.2008868025775191,0.3891241206515039,-0.396620243009412,-0.24115163464195566,0.2774980764206014,0.018526276908799464
18,MA,34,1.4940279444999978,0.8088874236082151,0.8088874236082148,1.2289601713737073,0.24038289350927838,0.34372998548680256,0.34372998548680245,-0.1401729510206494,-0.2770507047911789,-0.8837411735748606,-0.0374254546513143,-0.7381600852452618,-0.24641125769421524,-0.2508114783807701,-0.24212326674763318,-0.21634822563924824,-0.2052317468142576,-0.40031306418639406,0.6725591531278655,-0.47237145700997774,-0.24201657085818026,-0.01896746439764728,-0.42353165617240074,0.7517247034346896,0.8527153231258374,-0.5432524845557922,-0.5541466359905055,0.8809748905687959,0.0048040807997908296,-1.1640916165342088,-0.6203253530999284,-0.6158261968653979,-0.7711529348204492,-0.8945412754268842,0.8286420912146473,1.3674463454832875,0.08907076096484448,-0.060246872159194505,0.5929745116725224,0.45212792700893834,-0.3676608820461951,-0.25726680347306174,-0.49847233083257597,-0.2641042003196099,-0.13048515517788145
19,MD,5,2.3683551060831523,0.6334636352803759,0.6334636352803753,0.6058733650259367,0.03224915756484999,-0.043613026240022515,-0.04361302624002241,-0.1898858689295696,-0.3115951960468032,0.1020467842255746,0.8661144668025025,0.2959442133049068,-0.3876458936750472,-0.38996167874128196,-0.3853705385892729,-0.4002941379587102,-0.3624394984240982,-0.5827393929379563,0.37552191925472195,0.10846688014704649,-0.22102303425030087,0.19133631011979255,-0.31994287572944824,1.7099002718109388,1.4679119759607535,-1.3302881036609047,-1.207736543409692,1.449255535916008,-0.8035260412661082,-1.4155649903035643,-0.3551572478246131,-1.1700318373047436,-0.40032932879546157,-0.15537316944251328,0.5736754500344347,-0.22854468747217638,-0.49484847001515897,0.45278172811797557,1.4214062076896328,-1.5317857005579103,1.7735184337016368,-0.2900071851326326,-0.5248003010112373,-0.6073292178224192,-0.21718113031176817
20,ME,1,-0.4740186721312519,0.6616540853940936,0.6616540853940939,0.694885765932761,0.0261900887266954,0.5047363310908448,0.5047363310908446,-0.2492916028216534,-0.289404271211233,-0.4926252216726383,-0.6197969913677513,-0.5578058311313374,-0.5288968992995982,-0.5299450326531312,-0.5278415316885259,-0.5263292917727739,-0.5134195852025447,-1.1040094478395552,1.6613836281680052,-0.7094225013545329,-0.2221400612372616,-0.645722990191429,-0.4856220480919245,0.0771087813255374,0.5476736883819823,-0.6833788490494782,-0.5775928062259051,1.051008392961797,-0.665616877390168,-0.0932199040148541,-0.4991151359108364,-1.0946887689161553,-0.2147963492625412,-0.7920100409137161,-0.409919546038132,1.9101462685631856,0.0198049000031238,1.2791037557882377,-0.5255602780745373,0.3128729777968649,-0.7665611578383789,1.045358212605095,-1.2541825859608189,-1.3448406927921022,-0.1853664724559589
21,MI,30,-0.7604286820604506,-1.4175708089447432,-1.417570808944743,-0.330537092513856,-0.6458419689361808,-1.3177394864861371,-1.317739486486137,0.05313227591355463,-0.18938249498856488,-0.46947223519639913,0.5809280528158732,-0.2452643452880917,-0.24342210667256026,-0.24914879891157987,-0.2378470585454597,-0.2011336049438933,-0.26222414261585636,-0.9138962179812189,0.46058321786840145,0.7677543479957836,-0.14376200098551797,-0.3886232013304527,-0.4277234125889086,-0.43579237969302,-0.314701260397648,0.457718338104324,0.38059262546570666,-0.13185117669746776,0.14052054081038706,-0.39638273171356825,-0.6808266858235934,0.8497816536057665,0.5793450526255025,-0.2794936042722532,-0.30975396347086825,-0.1569804961490277,-0.532129014486448,-0.7051115353035268,-0.3388089965220041,1.0623810140554097,-0.7732909990353402,-0.8469621516559698,-0.13800666505312592,0.8176560804228383,-0.09670883626758699
