,State Abbreviation,State Name,Number of Cities,Average Household Income 2020/2021,"Percent Change in Household Income, 1984-2019","Average Yearly Percent Change in Household Income, 1984-2019",MinWage,Average House Price 2020/2021,"Percent Change in Housing Prices, 2000-2019","Average Yearly Percent Change in Housing Prices, 2000-2019",Violent Crime Total,Property Crime Total,Property Crime Per Capita,Violent Crime Per Capita,Total Crime Per Capita,TotalPop,Men,Women,VotingAgeCitizen,Employed,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Population
20,ME,Maine,1,-0.474018672,0.661654085,0.661654085,0.694885766,0.026190089,0.504736331,0.504736331,-0.249291603,-0.289404271,-0.492625222,-0.619796991,-0.557805831,-0.528896899,-0.529945033,-0.527841532,-0.526329292,-0.513419585,-1.104009448,1.661383628,-0.709422501,-0.222140061,-0.64572299,-0.485622048,0.077108781,0.547673688,-0.683378849,-0.577592806,1.051008393,-0.665616877,-0.093219904,-0.499115136,-1.094688769,-0.214796349,-0.792010041,-0.409919546,1.910146269,0.0198049,1.279103756,-0.525560278,0.312872978,-0.766561158,1.045358213,-1.254182586,-1.344840693,-0.185366472
21,MI,Michigan,30,-0.760428682,-1.417570809,-1.417570809,-0.330537093,-0.645841969,-1.317739486,-1.317739486,0.053132276,-0.189382495,-0.469472235,0.580928053,-0.245264345,-0.243422107,-0.249148799,-0.237847059,-0.201133605,-0.262224143,-0.913896218,0.460583218,0.767754348,-0.143762001,-0.388623201,-0.427723413,-0.43579238,-0.31470126,0.457718338,0.380592625,-0.131851177,0.140520541,-0.396382732,-0.680826686,0.849781654,0.579345053,-0.279493604,-0.309753963,-0.156980496,-0.532129014,-0.705111535,-0.338808997,1.062381014,-0.773290999,-0.846962152,-0.138006665,0.81765608,-0.096708836
22,MN,Minnesota,20,0.738881025,1.189456405,1.189456405,-0.166754275,-0.177308573,-0.421399684,-0.421399684,-0.154076872,-0.150657447,0.026582651,-0.530272463,-0.107571818,-0.361003953,-0.359689925,-0.362253072,-0.346359384,-0.31794087,-0.866946516,0.93692649,-0.273046575,-0.002644258,-0.094411891,-0.414807563,0.589237163,0.720348665,-0.911985164,-0.8481967,0.839388383,-0.853008993,-0.377654526,-0.775916516,-0.208504631,0.056525698,-0.688972264,0.138802806,-0.115022313,-0.157959647,0.163809578,-0.489489718,0.842419912,-0.543526303,-0.808179809,-0.872914573,-1.184937762,-0.151795746
23,MO,Missouri,8,-0.915851718,-0.815503763,-0.815503763,0.1252064,-0.708422114,-0.667922788,-0.667922788,0.300162742,0.256905957,1.234015179,0.870081053,1.230807172,-0.50525069,-0.506888754,-0.503624533,-0.507625786,-0.503158519,-0.894034005,0.812342704,0.280977492,-0.007810508,-0.655381973,0.125653931,-0.906174201,-0.711406846,0.624709717,0.353624878,-0.335720663,0.258392384,0.582124205,-0.149805555,0.258648196,0.530458796,-0.001410381,-0.438797483,-0.058849324,-0.385962002,-0.498781611,-1.063981942,-0.066166477,0.300514545,-0.542322708,0.279177899,-0.540664148,0.000357551
24,MS,Mississippi,6,-2.59956902,-0.884432658,-0.884432658,-1.263387054,-0.841233654,,,-0.223045955,-0.147334758,1.693874058,-0.158472155,1.358835174,-0.585319604,-0.586006754,-0.584610477,-0.603362284,-0.594104329,-0.988385596,-0.321708805,2.409380695,-0.165357856,-0.721155048,-0.441084636,-1.255852642,-1.257029883,1.537993371,1.828151733,-1.034918001,1.211281588,0.391706847,0.544109102,0.484419377,0.804128801,0.30270448,-0.612134356,-0.156392297,0.462321932,-1.871223916,-0.833882706,-0.736320054,1.060392791,-0.633060492,0.071967023,1.420438847,-0.171044412
25,MT,Montana,4,-1.123243728,-0.021956939,-0.021956939,-0.569090327,-0.112165156,,,-0.114752224,-0.087990394,1.066096557,0.441275306,0.987477457,-0.606890453,-0.605179,-0.608507489,-0.62599423,-0.605133029,-0.990962578,1.584012687,-0.926431294,1.344490288,-0.815247999,-0.318606753,-0.671834733,-0.169010576,-0.179645834,-0.535565147,0.006224222,0.526797201,-0.616188323,0.903415759,-0.734745,-0.17957698,0.078020758,-0.540389649,1.516053051,0.963184531,0.497285243,-1.734767795,-0.834774259,0.413338353,1.078521261,1.190905756,-1.09309847,-0.176697706
26,NC,North Carolina,22,-1.038370749,-0.542573052,-0.542573052,-1.263387054,-0.474898878,-1.006915329,-1.006915329,0.023974773,0.026441743,0.390992061,0.377877741,0.415011075,-0.470553854,-0.473252018,-0.46790143,-0.478017779,-0.465937037,-0.671235532,0.135656937,1.007277089,-0.111960581,-0.446163741,-0.326502022,-0.478835645,-0.291647989,0.215375292,0.293464318,0.178492556,-0.295996933,-0.1709754,-0.150126316,0.073574469,0.418185729,-0.113369821,-0.456909936,-0.192129832,-0.388958498,0.329713653,-0.578295015,-0.045310239,0.244102641,-0.44622524,-0.244500497,0.188286396,0.06168556
27,ND,North Dakota,4,-0.561843333,1.379372133,1.379372133,-1.263387054,-0.424079691,,,-0.190324108,-0.142396831,0.398179607,-0.227214172,0.273065196,-0.612473203,-0.610235921,-0.614600126,-0.634497417,-0.60737151,-1.024949573,1.506004423,-0.73031658,1.035911583,-0.707619331,-0.291884306,-0.204335813,0.113238126,-0.627725626,-1.007698444,-0.153566299,-0.264572742,-0.007939682,0.895476905,-0.167736806,0.77167825,-0.42380588,-0.61102633,0.236720589,-0.62805822,-0.682960011,-1.807541732,-0.756084782,1.001803585,-0.446978945,-0.093801678,-1.992843822,-0.173441197
28,NE,Nebraska,4,0.296564097,1.588910384,1.588910384,-0.640300248,-0.602253467,-0.680239098,-0.680239098,0.138014305,0.319165482,0.031263206,-0.101306593,0.001122788,-0.536014512,-0.534204298,-0.537732511,-0.552264655,-0.525798333,-0.450525609,0.905264312,-0.514755892,-0.088096823,-0.536517345,-0.178313906,-0.083871293,-0.24902505,-0.591574815,-0.547427793,0.017150069,-0.70581061,-0.020480891,0.163338136,0.367018363,0.860058932,-0.131321123,-0.561580653,-0.383829179,-0.537130063,-0.983659439,-1.458965121,0.191513854,0.200754546,-0.907116236,-1.088413885,-1.19682559,0.20231906
29,NH,New Hampshire,3,1.658935076,1.291719013,1.291719013,-1.263387054,-0.261313899,0.076606503,0.076606503,-0.202351334,-0.26209694,-0.585171571,-0.441067289,-0.590479217,-0.515124445,-0.513474553,-0.51668837,-0.516135769,-0.499384809,-0.921384054,1.530180187,-0.81837512,-0.244480601,-0.478037787,-0.449992119,0.551367706,0.431299678,-1.159047419,-1.078761341,0.322163313,-0.778754792,0.201080469,-0.062772191,-0.108176218,0.517943737,-0.433703841,-0.596621987,0.037713318,-0.722775051,0.689732877,0.309757954,0.157710628,-0.168001164,0.004406985,-0.370082847,-1.05735729,-0.1462855
