,State Abbreviation,State Name,Number of Cities,Average Household Income 2020/2021,"Percent Change in Household Income, 1984-2019","Average Yearly Percent Change in Household Income, 1984-2019",MinWage,Average House Price 2020/2021,"Percent Change in Housing Prices, 2000-2019","Average Yearly Percent Change in Housing Prices, 2000-2019",Violent Crime Total,Property Crime Total,Property Crime Per Capita,Violent Crime Per Capita,Total Crime Per Capita,TotalPop,Men,Women,VotingAgeCitizen,Employed,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Population
21,MI,Michigan,30,65943.5,18.8016854,0.522269039,9.87,196259.4431,27.32055726,1.366027863,27505.5,60363.5,0.017875974,0.006332762,0.024208736,27989705,13572174,14417531,20442755,12805439,5.448333333,66.45833333,21.16133333,0.290333333,3.700333333,0.021666667,58122.01267,29678.45367,17.79733333,22.47766667,36.029,18.97633333,23.00566667,6.625,15.366,80.75533333,9.043,2.492666667,2.465666667,1.473,3.770666667,24.03533333,85.19133333,10.10166667,4.556333333,0.147333333,8.768666667,97306.56667
22,MN,Minnesota,20,81436,41.7853798,1.160704994,10.33,337207.725,73.46614768,3.673307384,7698.5,46751.5,0.023764886,0.00242516,0.026190047,13356273,6592434,6763839,9568146,7341224,6.253,75.801,8.5835,0.543,5.566,0.0265,75638.4815,37696.6345,10.5985,13.414,43.1405,16.1955,23.043,6.3555,11.2645,76.8215,8.3535,5.1915,2.537,1.8845,5.2155,23.321,84.199,11.069,4.6265,0.103,4.473,78052
23,MO,Missouri,8,64337.5,24.10954139,0.669709483,11.15,177433.5406,60.77458346,3.038729173,12408,46103,0.038098914,0.007349585,0.045448499,2740009,1328959,1411050,2023724,1346509,5.78875,73.3575,15.27875,0.53375,2.00875,0.22875,50083.7775,26605.31,18.675,22.27875,34.53625,19.30625,24.95625,8.13,13.075,80.3875,9.51125,1.71625,2.6325,1.63375,4.11375,20.5975,80.1,14.6225,5.1075,0.1725,5.855,131234.25
24,MS,Mississippi,6,46939.5,23.50186048,0.652829458,7.25,137480.0208,,,831.5,9462,0.043558126,0.003732618,0.047290744,971554,469435,502119,714786,424346,4.171666667,51.115,41,0.251666667,1.591666667,0.016666667,44108.21167,22378.55333,23.475,33.155,29.41666667,21.97333333,24.57666667,10.09666667,13.95,82.44666667,10.02333333,0.673333333,2.466666667,2.566666667,1.831666667,21.68833333,77.07666667,17.82166667,4.943333333,0.16,10.06166667,71324
25,MT,Montana,4,62194.5,31.10549356,0.864041488,9.2,356804.733,,,1943.5,11457,0.036105469,0.005841665,0.041947134,453112,227774,225338,349971,235560,4.1275,88.4925,0.6875,2.955,0.995,0.0625,54088.345,30807.07,14.4475,15.72,37.04,20.0575,22.5675,11.115,9.225,75.045,9.645,1.105,5.31,3.1175,5.77,17.4175,76.6325,15.0975,8.04,0.2275,4.67,69348
26,NC,North Carolina,22,63071.5,26.51571345,0.736547596,7.25,247684.027,43.32248446,2.166124223,17682,80345.5,0.02809097,0.005618724,0.033709694,9256526,4476605,4779921,6475830,4581590,9.607272727,60.08545455,24.05590909,0.347272727,3.335454545,0.059545455,57386.45727,29857.03955,16.52363636,21.835,38.30136364,17.75454545,23.455,8.129090909,12.35772727,79.54272727,9.322727273,1.607272727,2.405909091,1.630454545,5.491363636,22.9,80.19409091,14.385,5.281363636,0.140909091,7.418636364,152670.2727
27,ND,North Dakota,4,67995.5,43.45968724,1.207213534,7.25,262971.8958,,,1167.5,9628,0.028176297,0.003490883,0.03166718,402750,205306,197444,302423,225952,3.545,86.9625,3.0575,2.4025,1.6775,0.0725,62077.315,32993.555,12.0925,12.2375,35.87,17.8425,23.78,11.0925,11.4225,82.2025,8.8,0.68,3.135,1.3675,3.8075,17.0725,76.9875,17.575,5.28,0.15,2.74,70486.25
28,NE,Nebraska,4,76865.5,45.30698792,1.258527442,9,209372.1146,60.14051205,3.007025603,4539,25144.5,0.023820451,0.003933644,0.027754095,1092484,543116,549368,762251,576080,13.39,75.18,5.6625,0.39,2.7625,0.115,64135.9025,30187.225,12.2825,15.6325,37.12,16.6075,23.755,9.0175,13.495,82.8675,9.2925,0.9775,2.08,1.4675,3.3075,18.725,81.2625,14.2025,4.4475,0.09,4.4475,201826
29,NH,New Hampshire,3,90943,42.68693254,1.185748126,7.25,311936.5139,99.10462704,4.955231352,783,4203,0.01650245,0.002738856,0.019241305,960700,476414,484286,723207,517089,5.32,87.43666667,1.993333333,0.11,3.133333333,0.013333333,74991.34,35457.47,9.3,11.71333333,39.35333333,16.40333333,24.19666667,8.376666667,11.65333333,80.29333333,8.783333333,0.766666667,2.796666667,1.263333333,6.09,27.11,81.11,12.65,6.096666667,0.133333333,4.746666667,79978
30,NJ,New Jersey,22,89051,34.3871061,0.955197392,13,350934.2886,88.75251142,4.437625571,8383,28390,0.01567458,0.004066594,0.019741174,13645007,6684786,6960221,8657998,6738361,30.70954545,39.87409091,16.47227273,0.145909091,10.59409091,0.028636364,72774.28773,34665.16955,14.81363636,19.56636364,36.86545455,18.605,23.365,7.073181818,14.09636364,60.65409091,9.069545455,19.66090909,4.635454545,2.502727273,3.473181818,31.45681818,83.09954545,12.56409091,4.212727273,0.125,7.707272727,84536.04545
31,NM,New Mexico,6,53373,9.546144564,0.265170682,11.5,231496.3542,,,8188.5,27458,0.035883398,0.012480521,0.048363918,1205142,592764,612378,861698,541391,41.23833333,43.34,1.911666667,10.57666667,1.116666667,0.055,52210.97667,26485.78167,18.75333333,25.06666667,34.54166667,20.12,22.43666667,12.63666667,10.27,80.77666667,9.521666667,0.946666667,2.288333333,1.798333333,4.676666667,22.14666667,71.33,21.79833333,6.666666667,0.198333333,7.531666667,141995.3333
32,NV,Nevada,6,64180,17.0469945,0.473527625,9.75,374865.5972,93.27739858,4.663869929,3757,20063,0.021351118,0.00404778,0.025398898,7282629,3644224,3638405,4824598,3409522,26.77,55.58,6.205,1.126666667,6.525,0.533333333,59146.54,30014.245,14.38166667,19.39333333,29.92666667,25.405,25.205,8.466666667,10.99666667,77.76666667,10.67166667,2.875,2.48,2.16,4.05,22.425,80.76,13.82833333,5.268333333,0.146666667,7.95,246972
33,NY,New York,14,72392.5,38.80352163,1.077875601,13.2,386126.753,90.81391653,4.540695826,54942.5,153787,0.022940032,0.0062768,0.029216832,11426984,5540742,5886242,7788237,5613224,13.48857143,64.34214286,12.53571429,0.379285714,6.493571429,0.020714286,78146.64071,38215.36929,12.79071429,16.12571429,40.56285714,19.24142857,24.05214286,6.952857143,9.192857143,67.81214286,7.788571429,14.55642857,4.548571429,1.337857143,3.955,28.70285714,78.20571429,16.38428571,5.286428571,0.119285714,6.5,687226.3571
34,OH,Ohio,33,62943.5,18.98907815,0.527474393,9.3,164712.924,22.06145486,1.103072743,24698.5,100955.5,0.024676684,0.004775432,0.029452116,19119490,9232649,9886841,14325127,9158378,4.452424242,72.05545455,18.36575758,0.15969697,2.025757576,0.028484848,54268.75939,28026.0797,17.9330303,24.7269697,34.00030303,19.4669697,23.68030303,6.933939394,15.91727273,81.43848485,8.318484848,2.829393939,2.559090909,1.281818182,3.57030303,22.81090909,83.32727273,11.97121212,4.585454545,0.114848485,8.196363636,105479.9697
35,OK,Oklahoma,11,57508.5,19.50561968,0.541822769,7.25,155234.1081,52.23964783,2.611982392,11217.5,61287.5,0.027353028,0.004856258,0.032209286,3920202,1929216,1990986,2727842,1853447,11.01272727,64.36,10.31818182,5.09,2.608181818,0.321818182,52267.09727,26461.49727,18.54,22.12636364,34.14727273,18.31181818,23.91818182,10.87545455,12.74727273,80.77090909,10.60272727,0.662727273,2.442727273,1.770909091,3.752727273,20.29181818,76.36909091,17.82,5.619090909,0.189090909,6.365454545,151502.7273
36,OR,Oregon,14,81149,47.9633,1.332313889,12.75,437606.2024,120.827865,6.041393249,7753,68330,0.028782843,0.002954827,0.03173767,5677655,2806945,2870710,4068981,2805917,12.81214286,76.57,1.618571429,0.551428571,4.38,0.36,61765.73071,31166.88,15.03571429,17.40571429,38.83857143,17.96571429,23.18571429,8.812142857,11.19285714,71.33357143,10.20357143,4.018571429,3.950714286,3.622857143,6.871428571,23.09857143,78.71214286,13.89357143,7.225,0.172857143,6.635714286,120046.8571
37,PA,Pennsylvania,12,73360.5,47.61021431,1.322505953,7.25,180040.4063,50.65871935,2.532935967,710,1916,0.015684769,0.006165172,0.021849942,5685380,2756749,2928631,4281144,2675034,9.988333333,74.85666667,10.14166667,0.114166667,2.754166667,0.020833333,54356.67083,28232.59917,16.595,21.40916667,34.38583333,19.11583333,23.85416667,7.450833333,15.19166667,74.43583333,9.965,5.184166667,4.9925,1.7,3.7225,23.84083333,84.06666667,11.27,4.5275,0.135,7.116666667,211562.9167
38,RI,Rhode Island,6,79450,38.11399272,1.05872202,12.25,282929.5278,97.1928999,4.859644995,1601,8941.5,0.015367712,0.002966072,0.018333784,3332532,1616898,1715634,2374546,1623697,18.64333333,66.255,7.37,0.323333333,3.88,0.06,57546.79,30063.92667,15.945,20.51166667,34.57833333,20.80666667,24.17666667,7.423333333,13.02333333,78.38,9.208333333,3.323333333,4.241666667,1.563333333,3.281666667,24.48166667,84.905,10.85833333,4.17,0.071666667,7.636666667,83313
39,SC,South Carolina,12,62850.5,29.95729706,0.832147141,7.25,266069.9271,64.452339,3.22261695,5305.5,26920.5,0.036356394,0.007604707,0.043961101,3389718,1644270,1745448,2538000,1609658,5.545,59.79416667,30.63666667,0.2575,1.594166667,0.061666667,54920.86167,29593.18333,17.225,23.515,34.73416667,19.28666667,24.17083333,8.4675,13.34333333,80.005,9.299166667,1.055,2.8225,2.215,4.596666667,23.56666667,78.62416667,15.93416667,5.290833333,0.15,7.295,67727.83333
40,SD,South Dakota,2,73680,40.86386297,1.135107305,9.95,248140.3438,,,1668.5,8499.5,0.032723032,0.006588727,0.03931176,291786,146665,145121,212609,156788,5.355,80.925,2.945,5.505,1.475,0.035,56395.845,28675.495,13.51,18.725,31.65,19.065,26.22,10.61,12.45,82.465,8.525,0.775,3.045,1.505,3.68,17.355,83.49,10.98,5.43,0.105,3.97,117744
41,TN,Tennessee,17,59854,43.57385521,1.210384867,7.25,303478.7498,61.48620907,3.074310454,23781.5,75627,0.028094964,0.006201121,0.034296085,7110178,3423726,3686452,5118956,3376613,5.584117647,66.16352941,23.88411765,0.178235294,2.113529412,0.055294118,59370.38059,29744.11647,17.23176471,23.74058824,35.85294118,17.60235294,24.79235294,7.532941176,14.21529412,82.23705882,8.800588235,1.257647059,1.762941176,1.598235294,4.347058824,23.53117647,80.40529412,13.13529412,6.314705882,0.145294118,7.063529412,146086.1176
42,TX,Texas,81,69501.5,24.64076451,0.684465681,7.25,253085.1946,82.9264359,4.146321795,93452.5,448176.5,0.021074639,0.003568128,0.024642768,87183204,42965207,44217997,53034580,42133973,35.35074074,45.49555556,12.43382716,0.261358025,4.527160494,0.086419753,63099.66716,29952.72272,16.90320988,22.50901235,35.39098765,18.24111111,24.13358025,10.56802469,11.66740741,80.52419753,9.958395062,1.314320988,1.677160494,1.881975309,4.647654321,25.0337037,79.56740741,13.49185185,6.773209877,0.170123457,6.001975309,181724.0617
43,UT,Utah,18,87782,55.97889494,1.554969304,7.25,430758.5556,88.89238492,4.444619246,3934.5,35569,0.024084698,0.002398726,0.026483424,13544728,6806196,6738532,8718144,6711770,15.07555556,76.98055556,1.252777778,0.583888889,2.730555556,1.01,70352.75389,27964.73,11.68333333,13.34666667,38.82777778,14.95,25.74055556,8.082777778,12.39055556,75.27666667,11.355,3.076111111,2.603888889,2.017222222,5.677222222,21.44277778,81.26444444,14.05833333,4.533333333,0.143888889,4.329444444,75764
44,VA,Virginia,8,83160.5,30.43715185,0.84547644,11,310863.6278,81.35940544,4.067970272,1547.5,9935.5,0.01974483,0.003089714,0.022834544,1317318,651562,665756,888798,668678,7.395,74.435,10.5375,0.18125,4.9225,0.04875,72559.4325,33501.59625,11.8775,13.02625,41.19375,16.60375,21.94625,8.38375,11.86625,79.53625,8.995,2.26625,2.495,1.55875,5.1475,26.04,75.275,19.0275,5.52375,0.17,4.52375,56014.625
45,VT,Vermont,1,73238.5,40.03272042,1.112020012,12.55,385994.625,118.1131083,5.905655415,152,1274,0.029688708,0.003542774,0.033231482,160985,78928,82057,125467,90054,2.3,88.39,2.87,0.26,4.16,0.02,69031.62,36457.24,12.94,14.42,47.51,16.49,21.19,6.24,8.57,71.06,8.33,2.94,8.9,3.14,5.63,21.02,79.88,14.12,5.93,0.06,4.1,42284
46,WA,Washington,28,86402.5,40.24041857,1.117789405,14.49,546656.0238,127.5569308,6.377846541,15777,136726,0.036177392,0.003646507,0.039823898,31319474,15643425,15676049,21795752,16295483,12.57035714,67.82321429,3.999642857,0.964642857,9.126071429,0.68,75421.3525,36880.36893,11.99071429,14.73321429,41.22142857,16.71357143,21.67785714,9.288214286,11.08892857,72.24464286,9.982857143,6.815357143,3.29,2.039642857,5.632857143,27.39,78.37857143,15.78357143,5.682857143,0.158571429,5.960357143,105604.9286
47,WI,Wisconsin,20,70248,38.16464394,1.060128998,7.25,206332.1479,54.8873039,2.744365195,13417.5,47526,0.020531625,0.003475782,0.024007407,7408084,3621962,3786122,5407848,3707712,7.848,77.596,8.665,0.503,3.225,0.036,59301.102,30285.889,14.035,17.3745,34.814,17.706,23.0535,7.3845,17.04,80.8745,8.1015,2.475,3.0815,1.598,3.872,21.436,84.727,10.95,4.187,0.1355,5.5325,95518.35
48,WV,West Virginia,2,50616,35.67580453,0.99099457,8.75,109725.1667,36.91549225,1.845774613,686,3450,0.038148769,0.007587765,0.045736534,283927,137536,146391,224650,121396,1.52,86.275,7.775,0.135,1.17,0.03,41707.56,25193.405,23.97,32.01,35.585,21.025,27.155,6.88,9.35,78.945,8.45,2.455,5.425,1.83,2.91,19.79,77.96,18.005,3.905,0.125,6.93,49999
49,WY,Wyoming,2,69779,16.3696748,0.454713189,7.25,273704.875,,,346.5,3959,0.031929034,0.002776519,0.034705553,178054,90279,87775,133096,88710,11.36,82.77,1.915,0.68,1.015,0.065,63051.15,31639.96,10.275,12.92,34.125,16.965,23.79,12.885,12.235,83.23,8.99,0.535,2.165,1.365,3.72,16.29,73.37,20.805,5.48,0.345,5.455,61038
50,AK,Alaska,1,79684.5,3.092310174,0.085897505,10.34,189513.5833,,,260,1276,0.041385573,0.008432797,0.049818371,100031,53967,46064,73708,46725,7.27,70.23,4.17,7.14,3.06,0.56,71686.16,34766.32,8.94,11.55,36.44,17.62,22.91,13.03,10,74.19,14.36,1.04,4.57,2.86,2.98,18.39,66.27,29.17,4.41,0.15,8.22,
,,,,,Fairbanks,,,,Fairbanks North Star Borough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
