city_id,State,County,State Abbreviation,city_name_id,city_state,city,City,state_id,county_name,state_name,lat,lng,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,city_county,city_st_abbr
29,New Mexico,Bernalillo County,NM,"Albuquerque, New Mexico, Bernalillo County","Albuquerque, New Mexico",Albuquerque,Albuquerque,NM,Bernalillo,New Mexico,35.1054,-106.6465,0,605,606,607,608,609,610,611,612,613,614,615,604,616,618,619,620,621,622,623,624,"Albuquerque, Bernalillo County","Albuquerque, NM"
30,Arizona,Pima County,AZ,"Tucson, Arizona, Pima County","Tucson, Arizona",Tucson,Tucson,AZ,Pima,Arizona,32.1541,-110.8787,30,884,805,134,683,32,87,64,543,302,122,37,76,35,137,131,391,862,31,377,841,"Tucson, Pima County","Tucson, AZ"
31,California,Fresno County,CA,"Fresno, California, Fresno County","Fresno, California",Fresno,Fresno,CA,Fresno,California,36.783,-119.7939,31,265,47,89,56,647,440,53,503,730,194,425,178,444,85,255,96,336,402,529,123,"Fresno, Fresno County","Fresno, CA"
32,California,Sacramento County,CA,"Sacramento, California, Sacramento County","Sacramento, California",Sacramento,Sacramento,CA,Sacramento,California,38.5677,-121.4685,32,334,461,130,416,198,229,117,253,144,37,547,66,284,53,30,564,275,96,7,713,"Sacramento, Sacramento County","Sacramento, CA"
33,California,Los Angeles County,CA,"Long Beach, California, Los Angeles County","Long Beach, California",Long Beach,Long Beach,CA,Los Angeles,California,33.7977,-118.167,33,141,280,292,390,217,545,429,612,563,712,161,240,234,331,363,213,327,913,246,716,"Long Beach, Los Angeles County","Long Beach, CA"
34,Missouri,Jackson County,MO,"Kansas City, Missouri, Jackson County","Kansas City, Missouri",Kansas City,Kansas City,MO,Jackson,Missouri,39.1238,-94.5541,34,75,12,59,14,43,57,44,28,68,202,401,157,428,99,24,421,64,116,526,512,"Kansas City, Jackson County","Kansas City, MO"
35,Arizona,Maricopa County,AZ,"Mesa, Arizona, Maricopa County","Mesa, Arizona",Mesa,Mesa,AZ,Maricopa,Arizona,33.4015,-111.7178,35,76,69,128,82,420,192,80,591,122,377,48,144,253,66,117,564,275,46,313,307,"Mesa, Maricopa County","Mesa, AZ"
36,Georgia,Fulton County,GA,"Atlanta, Georgia, Fulton County","Atlanta, Georgia",Atlanta,Atlanta,GA,Fulton,Georgia,33.7628,-84.422,36,286,264,57,513,59,71,14,12,75,68,353,34,233,559,428,202,249,119,673,44,"Atlanta, Fulton County","Atlanta, GA"
37,Colorado,El Paso County,CO,"Colorado Springs, Colorado, El Paso County","Colorado Springs, Colorado",Colorado Springs,Colorado Springs,CO,El Paso,Colorado,38.8674,-104.7605,37,172,79,50,419,189,289,227,277,610,539,838,32,110,548,241,391,87,302,216,124,"Colorado Springs, El Paso County","Colorado Springs, CO"
38,Nebraska,Douglas County,NE,"Omaha, Nebraska, Douglas County","Omaha, Nebraska",Omaha,Omaha,NE,Douglas,Nebraska,41.2627,-96.0529,38,88,176,527,63,64,109,659,799,526,114,203,525,222,155,816,383,483,329,780,544,"Omaha, Douglas County","Omaha, NE"
39,North Carolina,Wake County,NC,"Raleigh, North Carolina, Wake County","Raleigh, North Carolina",Raleigh,Raleigh,NC,Wake,North Carolina,35.8324,-78.6429,39,142,794,633,559,193,61,257,856,225,145,164,295,528,454,629,757,673,417,352,600,"Raleigh, Wake County","Raleigh, NC"
40,Florida,Miami-Dade County,FL,"Miami, Florida, Miami-Dade County","Miami, Florida",Miami,Miami,FL,Miami-Dade,Florida,25.784,-80.2101,40,218,495,533,776,78,774,678,910,691,303,248,119,152,276,386,775,307,446,68,787,"Miami, Miami-Dade County","Miami, FL"
41,California,Alameda County,CA,"Oakland, California, Alameda County","Oakland, California",Oakland,Oakland,CA,Alameda,California,37.7904,-122.2166,41,319,206,20,140,396,762,423,84,235,687,190,274,406,291,167,335,188,9,26,615,"Oakland, Alameda County","Oakland, CA"
42,Minnesota,Hennepin County,MN,"Minneapolis, Minnesota, Hennepin County","Minneapolis, Minnesota",Minneapolis,Minneapolis,MN,Hennepin,Minnesota,44.9635,-93.2678,42,383,329,38,851,50,21,88,695,428,485,674,64,662,109,110,287,190,87,406,20,"Minneapolis, Hennepin County","Minneapolis, MN"
43,Oklahoma,Tulsa County,OK,"Tulsa, Oklahoma, Tulsa County","Tulsa, Oklahoma",Tulsa,Tulsa,OK,Tulsa,Oklahoma,36.1283,-95.9042,43,24,34,75,59,661,401,421,526,415,99,73,157,14,57,68,202,12,589,918,16,"Tulsa, Tulsa County","Tulsa, OK"
44,Ohio,Cuyahoga County,OH,"Cleveland, Ohio, Cuyahoga County","Cleveland, Ohio",Cleveland,Cleveland,OH,Cuyahoga,Ohio,41.4764,-81.6805,44,58,57,157,34,75,28,714,17,99,59,401,14,676,374,428,421,486,143,202,907,"Cleveland, Cuyahoga County","Cleveland, OH"
45,Kansas,Sedgwick County,KS,"Wichita, Kansas, Sedgwick County","Wichita, Kansas",Wichita,Wichita,KS,Sedgwick,Kansas,37.6895,-97.3443,0,605,606,607,608,609,610,611,612,613,614,615,604,616,618,619,620,621,622,623,624,"Wichita, Sedgwick County","Wichita, KS"
46,Texas,Tarrant County,TX,"Arlington, Texas, Tarrant County","Arlington, Texas",Arlington,Arlington,TX,Tarrant,Texas,32.6998,-97.125,46,769,637,710,466,882,680,16,81,77,156,534,888,853,108,247,731,184,574,784,839,"Arlington, Tarrant County","Arlington, TX"
47,California,Kern County,CA,"Bakersfield, California, Kern County","Bakersfield, California",Bakersfield,Bakersfield,CA,Kern,California,35.3529,-119.0359,47,31,647,178,529,609,265,89,440,56,290,730,503,425,336,53,736,464,96,359,742,"Bakersfield, Kern County","Bakersfield, CA"
48,Florida,Hillsborough County,FL,"Tampa, Florida, Hillsborough County","Tampa, Florida",Tampa,Tampa,FL,Hillsborough,Florida,27.9945,-82.4447,48,173,787,506,386,895,152,307,129,587,276,185,868,309,606,746,248,226,446,382,877,"Tampa, Hillsborough County","Tampa, FL"
49,Hawaii,Honolulu County,HI,"Honolulu, Hawaii, Honolulu County","Honolulu, Hawaii",Honolulu,Honolulu,HI,Honolulu,Hawaii,21.3294,-157.846,49,668,558,476,880,245,791,256,91,879,403,367,308,224,751,32,375,554,819,334,461,"Honolulu, Honolulu County","Honolulu, HI"
50,Colorado,Arapahoe County,CO,"Aurora, Colorado, Arapahoe County","Aurora, Colorado",Aurora,Aurora,CO,Arapahoe,Colorado,39.7083,-104.7237,50,151,216,37,241,172,189,419,856,193,600,251,257,559,124,428,497,267,277,110,39,"Aurora, Arapahoe County","Aurora, CO"
51,California,Orange County,CA,"Anaheim, California, Orange County","Anaheim, California",Anaheim,Anaheim,CA,Orange,California,33.839,-117.8574,51,52,162,115,298,351,384,100,649,214,522,815,160,590,878,74,701,372,278,490,681,"Anaheim, Orange County","Anaheim, CA"
52,California,Orange County,CA,"Santa Ana, California, Orange County","Santa Ana, California",Santa Ana,Santa Ana,CA,Orange,California,33.7367,-117.8819,52,51,115,162,878,351,522,649,298,384,160,100,214,590,701,815,74,372,278,681,490,"Santa Ana, Orange County","Santa Ana, CA"
53,California,Riverside County,CA,"Riverside, California, Riverside County","Riverside, California",Riverside,Riverside,CA,Riverside,California,33.9381,-117.3949,53,96,736,359,424,742,579,269,133,239,831,349,779,347,444,672,402,255,366,639,123,"Riverside, Riverside County","Riverside, CA"
54,Texas,Nueces County,TX,"Corpus Christi, Texas, Nueces County","Corpus Christi, Texas",Corpus Christi,Corpus Christi,TX,Nueces,Texas,27.7254,-97.3767,0,605,606,607,608,609,610,611,612,613,614,615,604,616,618,619,620,621,622,623,624,"Corpus Christi, Nueces County","Corpus Christi, TX"
55,Pennsylvania,Allegheny County,PA,"Pittsburgh, Pennsylvania, Allegheny County","Pittsburgh, Pennsylvania",Pittsburgh,Pittsburgh,PA,Allegheny,Pennsylvania,40.4397,-79.9763,0,605,606,607,608,609,610,611,612,613,614,615,604,616,618,619,620,621,622,623,624,"Pittsburgh, Allegheny County","Pittsburgh, PA"
56,California,San Joaquin County,CA,"Stockton, California, San Joaquin County","Stockton, California",Stockton,Stockton,CA,San Joaquin,California,37.9765,-121.3109,56,89,85,503,440,425,31,194,336,53,730,198,889,736,622,402,255,96,444,359,435,"Stockton, San Joaquin County","Stockton, CA"
57,Ohio,Hamilton County,OH,"Cincinnati, Ohio, Hamilton County","Cincinnati, Ohio",Cincinnati,Cincinnati,OH,Hamilton,Ohio,39.1413,-84.506,57,75,202,157,59,99,714,903,233,722,14,635,428,58,526,706,401,887,104,750,44,"Cincinnati, Hamilton County","Cincinnati, OH"
58,Ohio,Lucas County,OH,"Toledo, Ohio, Lucas County","Toledo, Ohio",Toledo,Toledo,OH,Lucas,Ohio,41.6638,-83.5827,58,486,157,374,655,266,714,909,57,883,907,887,44,143,75,501,519,732,555,676,99,"Toledo, Lucas County","Toledo, OH"
59,North Carolina,Guilford County,NC,"Greensboro, North Carolina, Guilford County","Greensboro, North Carolina",Greensboro,Greensboro,NC,Guilford,North Carolina,36.0956,-79.8271,59,233,75,202,526,57,99,157,585,661,415,34,635,14,903,12,46,68,43,428,24,"Greensboro, Guilford County","Greensboro, NC"
60,New Jersey,Essex County,NJ,"Newark, New Jersey, Essex County","Newark, New Jersey",Newark,Newark,NJ,Essex,New Jersey,40.7245,-74.1725,60,493,342,400,487,581,890,339,664,728,912,180,670,535,756,750,604,808,370,854,812,"Newark, Essex County","Newark, NJ"
61,Texas,Collin County,TX,"Plano, Texas, Collin County","Plano, Texas",Plano,Plano,TX,Collin,Texas,33.0502,-96.7486,61,145,164,295,757,193,257,454,856,142,794,39,633,225,528,559,638,709,552,561,352,"Plano, Collin County","Plano, TX"
62,Nevada,Clark County,NV,"Henderson, Nevada, Clark County","Henderson, Nevada",Henderson,Henderson,NV,Clark,Nevada,36.0133,-115.0381,62,83,895,868,746,289,488,79,587,173,506,307,258,185,129,276,582,386,787,606,877,"Henderson, Clark County","Henderson, NV"
63,Nebraska,Lancaster County,NE,"Lincoln, Nebraska, Lancaster County","Lincoln, Nebraska",Lincoln,Lincoln,NE,Lancaster,Nebraska,40.8099,-96.6784,63,685,88,38,176,489,527,109,64,499,618,376,155,698,302,659,479,799,72,110,520,"Lincoln, Lancaster County","Lincoln, NE"
64,New York,Erie County,NY,"Buffalo, New York, Erie County","Buffalo, New York",Buffalo,Buffalo,NY,Erie,New York,42.9018,-78.8487,64,155,479,693,137,841,114,88,38,685,812,431,63,109,604,87,302,202,520,268,667,"Buffalo, Erie County","Buffalo, NY"
65,New Jersey,Hudson County,NJ,"Jersey City, New Jersey, Hudson County","Jersey City, New Jersey",Jersey City,Jersey City,NJ,Hudson,New Jersey,40.7184,-74.0686,65,457,643,491,650,804,628,896,22,493,60,458,98,371,400,342,487,436,335,581,890,"Jersey City, Hudson County","Jersey City, NJ"
66,California,San Diego County,CA,"Chula Vista, California, San Diego County","Chula Vista, California",Chula Vista,Chula Vista,CA,San Diego,California,32.6281,-117.0144,66,275,144,313,117,564,598,253,694,219,547,523,160,701,372,522,278,681,697,162,100,"Chula Vista, San Diego County","Chula Vista, CA"
