,State Abbreviation,Average Household Income 2020/2021,"Percent Change in Household Income, 1984-2019","Average Yearly Percent Change in Household Income, 1984-2019",MinWage,City,Average House Price 2020/2021,"Percent Change in Housing Prices, 2000-2019","Average Yearly Percent Change in Housing Prices, 2000-2019",Violent Crime Total,Property Crime Total,Property Crime Per Capita,Violent Crime Per Capita,Total Crime Per Capita,State,County,TotalPop,Men,Women,VotingAgeCitizen,Employed,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Population
911,OH,-1.05075814,-1.396314957,-1.396314957,-0.533485367,Lima,-0.96760551,-1.318799019,-1.318799019,-0.214037708,-0.29053464,0.726185092,0.593054014,0.744137122,Ohio,Allen County,-0.610934793,-0.6090768,-0.612693747,-0.63194993,-0.614954577,-1.057915499,0.985312008,0.312525481,-0.183044117,-0.872807653,-0.485622048,-1.093603262,-1.179065109,0.477252461,0.445984047,-1.623092793,0.502680962,-1.507868289,0.051312083,3.441376787,1.007913831,-0.204071139,-0.517952116,-0.454413039,-0.434835886,-1.727890522,-1.502207605,1.374626771,-1.080092583,-0.872571394,-1.088413885,0.683082769,-0.265368026
912,AZ,-0.317482706,1.02737184,1.02737184,0.712688246,Marana,-0.197535396,-0.710296642,-0.710296642,-0.284155952,-0.288928326,-0.075713817,-0.943147299,-0.292868831,Arizona,Pima County,-0.210491471,-0.21015892,-0.210798988,-0.169234077,-0.256045455,0.780591266,-0.15524019,-0.735074637,1.39754907,-0.560566241,-0.164952682,-0.769439616,-0.495965637,0.58380222,0.658833804,-0.056599402,0.967141876,0.573972419,0.044255324,-0.92181255,-0.007467232,0.193826906,-0.273632304,-0.213251518,1.456469785,0.088334022,-0.261886594,-1.178902185,1.040995013,0.503695096,0.569273126,0.76233495,-0.26555399
913,IL,0.457551781,0.224546057,0.224546057,0.427848563,Carpentersville,-0.664391374,-1.769844051,-1.769844051,,,,,,Illinois,Kane County,-0.422377025,-0.419315769,-0.425317305,-0.449523776,-0.414945032,0.752584815,-0.118020561,-0.505860393,-0.261236006,-0.41706135,-0.405454707,0.482634164,-0.000366304,-0.75948582,-0.504383336,-0.682104174,-0.419095315,0.46360978,-0.252128563,1.539738383,0.512184595,0.193826906,-0.306873095,-0.713220526,-0.543949675,-0.3206172,0.518587512,1.452207946,-0.963705918,-1.364489939,-0.42533908,-0.156057974,-0.265694178
914,CA,0.737961649,0.014144149,0.014144149,1.13994777,Oakley,0.812667911,0.376415244,0.376415244,-0.287661864,-0.371921195,-1.047187285,-0.944621876,-1.094711676,California,Contra Costa County,-0.158869267,-0.162478735,-0.155354985,-0.156481085,-0.161060958,0.187204601,-0.561596963,-0.332087862,-0.171873847,1.525774102,0.636720732,1.916332162,1.524402896,-1.096259167,-1.091414829,0.883023487,-0.294048146,-0.334011119,-0.266242082,-1.089528285,-1.203596756,1.22123529,1.062647481,-0.572052806,-0.062030442,0.990432305,2.284146503,-0.660216616,0.024393119,1.581494155,0.403504425,-0.076805793,-0.265828644
915,OH,-1.05075814,-1.396314957,-1.396314957,-0.533485367,Huber Heights,-0.843545393,-1.773895878,-1.773895878,-0.277144127,-0.34913534,-0.498943149,-0.70629162,-0.58415627,Ohio,Montgomery County,-0.42123081,-0.425846462,-0.416721126,-0.400631347,-0.435314097,-1.073085659,0.536637026,1.025820349,-0.194214387,-0.700917179,-0.405454707,-0.98098177,-0.704075946,0.911062196,1.317719037,-0.31472255,0.709901985,-0.484505628,-0.717874672,0.858554477,0.712868548,-0.625724291,-0.183882169,-0.213251518,-0.953126383,-1.078379758,-0.87993771,0.310656373,0.017267405,-0.828353997,0.237735724,0.888206061,-0.265977415
916,TX,-0.416097945,-0.75524743,-0.75524743,-1.263387054,Lancaster,-0.596692404,-0.122596365,-0.122596365,-0.22085476,-0.310583813,0.148679377,0.320927207,0.201181015,Texas,Dallas County,0.474557044,0.475894305,0.473225018,0.365536037,0.506849024,1.006393271,-1.255513611,0.747784298,-0.205384656,-0.063818541,-0.378732259,-0.20287491,0.113072248,0.443004324,0.795762628,-0.486804649,-0.258320383,0.007109769,1.173336799,0.244456864,0.190558656,0.930235227,-0.193854407,-0.719102514,-0.016566363,-0.350687143,0.276007723,0.873674042,-1.082467821,0.337879856,0.237735724,-0.487052378,-0.266180544
917,CA,0.737961649,0.014144149,0.014144149,1.13994777,Montclair,0.408783683,1.675854009,1.675854009,-0.205857247,-0.256623575,1.036341309,0.550674369,0.989664413,California,San Bernardino County,0.283450557,0.29351294,0.273665049,0.264806144,0.150441186,1.773069846,-1.30496983,-0.374289762,-0.071341418,-0.007047375,0.316051367,-0.369801149,-1.169907615,0.658006517,0.719841696,-1.333557833,0.391924897,0.674302092,0.725232589,1.359121438,0.276945788,1.417214924,-0.46642889,-0.548524853,-0.680341911,0.016166159,1.029059765,-0.782129891,0.656206446,0.426314651,-0.093801678,1.512899725,-0.266306427
918,IL,0.457551781,0.224546057,0.224546057,0.427848563,Wheeling,-0.500568756,-1.381566567,-1.381566567,-0.29545278,-0.383581842,-1.156333649,-1.058978725,-1.223588862,Illinois,Cook County,1.665701003,1.630922268,1.699331664,1.842592581,1.689773796,0.145194926,-0.91033979,1.389915177,-0.250065736,0.008722393,-0.432177154,-0.243310295,0.121185421,0.492473855,0.448695509,-0.000604433,0.402643226,-0.028005617,-0.940162587,0.414752841,-2.204358458,-0.839520255,2.772886161,0.845506381,0.347146266,-0.302575235,1.687189282,0.671962987,-0.320016401,-0.911261617,-0.591107781,1.564180549,-0.266340759
919,WI,-0.343854299,0.778758422,0.778758422,-1.263387054,Brookfield,-0.071056707,-0.74341897,-0.74341897,-0.294868461,-0.356750456,-0.676460248,-1.049717651,-0.814539324,Wisconsin,Waukesha County,-0.481204636,-0.480997242,-0.48137114,-0.473397366,-0.461843179,-0.964560664,1.614986556,-0.859197874,-0.216554926,-0.462793678,-0.378732259,1.066249274,1.240823942,-1.935338524,-1.835711111,1.184850025,-2.01255353,0.25793395,-0.774328745,-0.354159295,1.392004312,-2.062908273,-0.627646725,-0.813214327,-1.125889881,-0.36271512,-0.373684236,1.545305356,-1.160850677,-1.132348603,-0.42533908,-1.713130241,-0.266386535
920,IL,0.457551781,0.224546057,0.224546057,0.427848563,Park Ridge,0.181363958,-1.382098262,-1.382098262,,,,,,Illinois,Cook County,1.665701003,1.630922268,1.699331664,1.842592581,1.689773796,0.145194926,-0.91033979,1.389915177,-0.250065736,0.008722393,-0.432177154,-0.243310295,0.121185421,0.492473855,0.448695509,-0.000604433,0.402643226,-0.028005617,-0.940162587,0.414752841,-2.204358458,-0.839520255,2.772886161,0.845506381,0.347146266,-0.302575235,1.687189282,0.671962987,-0.320016401,-0.911261617,-0.591107781,1.564180549,-0.266844291
